id	sign_name	sign_reading	preferred_reading	period_id	provenience_id	language_id	meaning
85	|A.TU.NIR.GAB.LISZ|	asalx	1	NULL	NULL	NULL	n. poplar?
86	|A.TU.NIR.LISZ|	asalx	1	NULL	NULL	NULL	n. poplar?
87	|A.TU.NIR|	asalx	1	NULL	NULL	NULL	n. poplar?
88	|A.TU|	asalx	1	NULL	NULL	NULL	n. poplar?
89	|GAB.LISZ|	asalx	1	NULL	NULL	NULL	n. poplar?
90	|TU.NIR|	asalx	1	NULL	NULL	NULL	n. poplar?
91	ASARI	asar	1	NULL	NULL	NULL	dn.
92	|EZENxA|	asila3	1	NULL	NULL	NULL	
93	ASZ	asz	1	NULL	NULL	NULL	tt. metrological unit 1
94	ASZ2	asz2	1	NULL	NULL	NULL	n. curse
95	ASZ3	asz3	1	NULL	NULL	NULL	
96	ASZ4	asz4	1	NULL	NULL	NULL	
97	SZIR	asz7	1	NULL	NULL	NULL	
98	ASZGAB	aszgab	1	NULL	NULL	NULL	n. leather worker
99	SZIR	aszgi	1	NULL	NULL	NULL	
100	HIxDISZ	aszgi2	1	NULL	NULL	NULL	
101	|SZE.TIR|	asznan	1	NULL	NULL	NULL	dn. Asznan
102	AD	at	1	NULL	NULL	NULL	
103	AD	at,	1	NULL	NULL	NULL	
104	AZ	az	1	NULL	NULL	NULL	n. bear
105	|KU3.AN|	azag	1	NULL	NULL	NULL	n. taboo
106	|KU3.AN|	azag	1	NULL	NULL	NULL	n. taboo
107	|TUG2.UD|	azlag	1	NULL	NULL	NULL	n. fuller
108	TUG2	azlag2	1	NULL	NULL	NULL	n. fuller
109	|GISZ.TUG2.PI.KAR|	azlag5	1	NULL	NULL	NULL	
110	BA	ba	1	NULL	NULL	NULL	n. share, portion; rations, wages; v. to give, to divide, apportion, distribute; vp, conjugational prefix; pos/dem suffix -bi plus nominative -a.
111	PA	ba2	1	NULL	NULL	NULL	
112	ESZ	ba3	1	NULL	NULL	NULL	n. liver, liver model, omen
113	GA2	ba4	1	NULL	NULL	NULL	
114	U2	ba6	1	NULL	NULL	NULL	
115	MASZ	ba7	1	NULL	NULL	NULL	n. goat, interest
116	UD	babbar	1	NULL	NULL	NULL	adj. white, shining, silvery
117	|UD.UD|	babbar2	1	NULL	NULL	NULL	adj. white, shining, silvery
118	|KA2.AN|	babila	1	NULL	NULL	NULL	gn. Babylon
119	|KA2.AN.RA|	babila2	1	NULL	NULL	NULL	gn. Babylon
120	|DIN.TIR|	babilax	1	NULL	NULL	NULL	gn. Babylon
121	BAD	bad	1	NULL	NULL	NULL	v. to open
122	BAD3	bad3	1	NULL	NULL	NULL	n. (city) wall
123	|DUG.SILA3.BUR|	bahar2	1	NULL	NULL	NULL	n. potter
124	|U.EDIN|	bahar3	1	NULL	NULL	NULL	n. potter
125	BAL	bal	1	NULL	NULL	NULL	
126	BAL	bala	1	NULL	NULL	NULL	n. term, reign; v. to transfer, to cross over
127	BALAG	balag	1	NULL	NULL	NULL	n. harp
128	PAN	ban	1	NULL	NULL	NULL	n. bow
129	BAN2	ban2	1	NULL	NULL	NULL	n. vessel; tt. 6 or 10 sila3
130	TUR	banda3	1	NULL	NULL	NULL	adj. junior
131	BANSZUR	banszur	1	NULL	NULL	NULL	n. table
132	|SZIMxNIG2|	bappir	1	NULL	NULL	NULL	n. beer bread
133	SZIM	bappir2	1	NULL	NULL	NULL	n. beer bread
134	|BIxNIG2|	bappir3	1	NULL	NULL	NULL	n. beer bread
135	BAR	bar	1	NULL	NULL	NULL	n., (out)side, fleece; v. to open; adj. foreign
136	BARA2	bar2	1	NULL	NULL	NULL	
137	UD	bar6	1	NULL	NULL	NULL	adj. white, shining, silvery
138	NE	bar7	1	NULL	NULL	NULL	adj. burning; v. to flame, blaze
139	BARA2	bara2	1	NULL	NULL	NULL	n. pedestal, dais, throne
140	DAG	bara3	1	NULL	NULL	NULL	
141	BAD3	bat3	1	NULL	NULL	NULL	
