o0001666	12187
o0001605	124D2
o0001668	12188
o0001662	12189
o0001663	1218A
o0001664	124D3
o0001665	12387
o0001667	1218B
o0001671	1218C
o0000277	1218D
o0001677	1218E
o0000263	1218F
o0000265	12190
o0000266	12191
o0000267	12192
o0000268	12193
o0001571	12194
o0000269	12195
o0001575	12196
o0000270	12197
o0001578	12198
o0001576	12199
o0000272	1219A
o0000273	1219B
o0000274	1236F
o0000275	1219C
o0000625	1219E
o0001581	1219D
o0000278	1219F
o0000279	121A0
o0001741	121A1
o0001743	121A2
o0001742	121A3
o0000281	121A4
o0000282	121A5
o0000283	1245C
o0000284	121A6
o0000285	121A8
o0001740	121A9
o0000286	121A7
o0000289	121AA
o0001746	121AB
o0000296	121AC
o0000297	121AD
o0000299	121AF
o0000291	121B0
o0000292	121B1
o0000293	121B2
o0000294	121B3
o0001762	121B4
o0000295	121B5
o0000300	121B6
o0000305	121B7
o0000306	121B8
o0001800	121B9
o0001775	121BA
o0001776	121BB
o0001777	121BC
o0001798	121BD
o0001799	121BE
o0001801	121D5
o0001802	121BF
o0001804	121C0
o0001805	121C1
o0001806	121C2
o0001807	121C3
o0001809	121C4
o0001808	121C5
o0032025	12388
o0001811	121C6
o0001778	121C7
o0001815	121C8
o0001814	121C9
o0001816	121CA
o0001817	121CB
o0001818	121CC
o0001781	121CD
o0023056	121CE
o0001820	121CF
o0001819	121D0
o0001822	121D1
o0001821	121D2
o0001783	121D3
o0001823	121D4
o0001828	121D6
o0001827	121D7
o0001784	121D9
o0001830	121DA
o0001831	121DB
o0001832	121E1
o0001791	121DC
o0001794	121DE
o0001843	121DF
o0001795	121E0
o0001833	121E2
o0001834	121E3
o0001785	121E4
o0001838	121E5
o0001786	121E6
o0001788	121E7
o0001789	121E8
o0001836	121E9
o0001839	121EA
o0001790	124D4
o0000307	121EC
o0001853	121ED
o0001851	121EE
o0000308	121EF
o0001847	121F0
o0000309	121F1
o0025789	124DC
o0000314	124E0
o0000316	124E1
o0000322	124D6
o0000323	124E2
o0000326	124E3
o0000327	124E4
o0000329	124E5
o0000330	124E6
o0000332	124E7
o0000338	124D7
o0000342	124E8
o0000343	124E9
o0000349	124D5
o0000350	124D8
o0000355	124EA
o0000356	124EB
o0000357	124EC
o0000363	124ED
o0000368	124EF
o0000373	124F0
o0001857	124F2
o0001858	124F3
o0001854	124F4
o0001855	124F5
o0001856	124F6
o0000377	124F8
o0000380	124F9
o0000382	124FA
o0000384	124FB
o0000385	124FC
o0000387	124FE
o0000390	124D9
o0000397	124FF
o0000402	12500
o0000403	12501
