id	sign_name	sign_reading	preferred_reading	period	provenience	language	meaning
380	|PA.DAG.(KISIM5xGAG)|	gabar	1				
381	GAD	gada	1				"n. flax, linen"
382	GAG	gag	1				"n. nail"
383	GAL	gal	1				"adj. large"
384	IG	gal2	1				"v. to be present"
385	MUNUS	gal4	1				"n. vulva"
386	TE	gal5	1				
387	|USZ.KU|	gala	1				"n. singer, castratus"
388	GALAM	galam	1				"adj. clever"
389	GAM	gam	1				"v. to bend, kneel"
390	KAM	gam2	1				
391	GAM3	gam3	1				"n. sickle, handle"
392	|DIN.TIR|	gamun	1				"n. a kind of bird, a kind of herb (cumin)"
393	TIR	gamun2	1				"n. a kind of bird, a kind of herb (cumin)"
394	GAN	gan	1				
395	GAN2	gan2	1				"n. field, area; tt. irrigated lnd"
396	|KI.LAM|	ganba	1				"n. marketplace, value"
397	GANUN	ganun	1				"n. storehouse"
398	NIG2	gar	1				"v. to put, place, set (hamtu)"
399	GAR3	gar3	1				
400	GU4	gar4	1				
401	GUG2	gar5	1				
402	SIG4	gar8	1				
403	GAR2	gara2	1				"n. cream"
404	ZUM2	garig2	1				"n. cream"
405	|ZUM.SI|	garigx	1				"n. cream"
406	|PA.AN|	garza	1				
407	|NUN.ME.TAG|	gaszam	1				"n. artisan"
408	|ME.NUN.TAG|	gaszamx	1				"n. artisan"
409	GAZ	gaz	1				"v. to grind"
410	|GA2xASZ2|	gazi	1				"n. a spice, condiment, sumac?"
411	KUM	gazx	1				
412	GI	ge	1				
413	KID	ge2	1				
414	GA2	ge26	1				
415	GI4	ge4	1				
416	KI	ge5	1				"n. earth, place, area, location"
417	MI	ge6	1				"n. night, darkness"
418	NE	ge9	1				
419	GEME2	geme2	1				"n. slave woman"
420	DU	gen	1				"v. to go (hamtu)"
421	KUR	gen3	1				
422	GISZ	gesz	1				"n. wood"
423	DISZ	gesz2	1				"n. sixty"
424	USZ	gesz3	1				"n. penis"
425	|SZU.BULUG3|	geszba2	1				
426	|KI.BI.NIG2|	geszbun	1				
427	|KI.BI|	geszbun2	1				
428	GISZGAL	geszgal	1				" n. pedestal"
429	SA6	geszimmar	1				"n. date palm"
430	|IGI.DUB|	geszkim	1				"n. sign"
431	GESZTIN	gesztin	1				"n. grapevine"
432	PI	gesztu	1				"n. ear, intelligence"
433	|GISZ.TUG2.PI|	gesztu2	1				
434	|GISZ.PI.TUG2|	gesztu3	1				
435	|USZxKUR|	geszx	1				
436	GI	gi	1				"n. reed; tt. length measure = 6 cubits = 3 meters"
437	GIM	gi18	1				
438	GI4	gi4	1				"v. to return"
439	KI	gi5	1				"v. to return"
440	SZE3	gi7	1				"adj. domestic"
441	IGI	gi8	1				
442	BIL2	gibil	1				"adj. new"
443	GIBIL2	gibil2	1				"n. firewood?; v. to burn"
444	NE	gibil4	1				
445	|NE.GI|	gibil6	1				dn.
446	BU	gid2	1				"adj. long; v. to pull, measure (lengths)"
447	GIDIM	gidim	1				"n. ghost"
448	PA	gidri	1				"n. scepter"
449	GIG	gig	1				"n. wheat"
450	GIGIR	gigir	1				"n. wheel, chariot"
451	TUL2	gigir2	1				"n. wheel, chariot"
452	GIL	gil	1				
453	|BIL4.GA.MES|	gilgames3	1				"dn. Gilgamesh"
454	|BIL2.GA.MES|	gilgamesx	1				"dn. Gilgamesh"
455	|BIL3.GA.MES|	gilgamesx	1				"dn. Gilgamesh"
456	GIN2	gin2	1				"n. shekel; tt. weight measure ca. 8.5 g."
457	KUR	gin3	1				
458	GIM	gin7	1				"v. suffix equative"
459	GIR	gir	1				"n. a type of fish"
460	EZEN@g	gir11	1				"v. to yoke"
461	SZID	gir13	1				
462	|GIR3xKAR2|	gir16	1				"n. beer vessel"
463	GIR2	gir2	1				"n. knife"
464	GIR3	gir3	1				
465	GIR4	gir4	1				"n. oven"
466	KASZ4	gir5	1				"v. to dissapear, to dive"
467	KA	giri17	1				"n. nose"
468	GIR3	giri3	1				"n. foot"
469	KASZ4	girim2	1				
470	|A.HA.TAR.DU|	girim3	1				
471	|A.BU.HA.DU|	girimx	1				
472	GISZ	gis	1				
473	|GISZ.MI|	gissu	1				"n. shadow, shade"
474	GU	gu	1				"n. string, yarn, flax, hemp"
475	GU2	gu2	1				"n. neck; tt. weight meassure talent"
476	KA	gu3	1				"n. voice"
477	GU4	gu4	1				"n. bull, ox"
478	KU	gu5	1				
479	GU7	gu7	1				"v. to eat, use"
480	DU	gub	1				"v. to stand, to set, erect, install"
481	LI	gub2	1				
482	KAB	gub3	1				"n. left (hand)"
483	|EZENxLA|	gubalag	1				dn.
484	|AH.ME|	gudu4	1				"n. type of priest"
485	GUG	gug	1				"n. carnelian"
486	GUG2	gug2	1				"n. a type of baked goods"
487	|ZI&ZI.LAGAB|	gug4	1				"n. type of grass"
488	|LU.HUL2|	gukkal	1				"n. fat-tailed sheep"
489	GUL	gul	1				"v. to destroy, demolish"
490	KUM	gum	1				
491	LUM	gum2	1				
492	NE	gum3	1				"n. fire"
493	DAR	gun3	1				"adj. speckled, colorful"
494	UNUG	gun4	1				
495	GUR	gur	1				"v. to return; tt. dry capacity measurement"
496	KIN	gur10	1				"v. to harvest"
497	GA	gur11	1				"n. goods"
498	GAM	gur2	1				"n. sphere; circle, ring;  v. to bow down, submit; to die"
499	IL2	gur3	1				"v. to transport"
500	LAGAB	gur4	1				"adj. fat"
501	|URUxGU|	gur5	1				"v. to split"
502	GUR8	gur8	1				"n. load"
503	|GA2xGI|	gurdub	1				"n. reed basket"
504	|GA2xGI4|	gurdub2	1				"n. reed basket"
505	GUR7	guru7	1				"n. a siloh, a granary"
506	GAM	gurum	1				
507	|IGI.NIG2|	gurum2	1				inspection.
508	|IGI.ERIM|	gurumx	1				inspection.
509	GURUN	gurun	1				
510	DUG	gurun7	1				
511	KAL	gurusz	1				"n. male laborer"
512	|SZE.KIN|	gurx	1				"v. to harvest"
513	|SZE.SZE.KIN|	gurx	1				
514	LUM	guz	1				
515	|KU.NIG2|	guzza	1				"n. throne, chair"
516	HA	ha	1				"vp. precative (maru) and affirmative (hamtu)"
517	GIR	ha6	1				
518	LAGAB	hab	1				"v. to stink"
519	TUL2	hab2	1				"v. to stink"
520	PA	had	1				
521	UD	had2	1				"adj. dry; v. to dry"
522	HAL	hal	1				"v. to divide"
523	HAR	har	1				"n. bracelet"
524	|DAG.(KISIM5xBI)|	hara4	1				
525	|DAG.(KISIM5xIR)|	harax	1				
526	KASKAL	harran	1				
527	TAR	hasz	1				
528	HASZHUR	haszhur	1				"n. apple?"
529	PA	hat,	1				
530	HI	he	1				
531	GAN	he2	1				"vp. precative (maru) and affirmative (hamtu)"
532	PA	hendur	1				dn.
533	HI	hi	1				"v. to mix"
534	EZEN@g	hir	1				
535	KWU318	hirinx	1				
536	SIG7	hirinx	1				
537	HU	hu	1				"vp. precative (maru) and affirmative (hamtu)"
538	HUB2	hub2	1				
539	BI	huburx	1				
540	HUL	hul	1				"adj. destroyed; v. to destroy"
541	HUL2	hul2	1				"n., joy; v. to be happy, to rejoice over; adj., joyous."
542	KIB	hul3	1				
543	LUM	hum	1				
544	SZE3	hun	1				"v. to hire, to install"
545	HAR	hur	1				"n. hole"
546	HUSZ	husz	1				"adj. reddish, furious"
547	RI	hux	1				"vp. precative (maru) and affirmative (hamtu)"
548	I	i	1				"n. cry of pain"
549	IA2	i2	1				"n. cry of pain"
550	NI	i3	1				"n. oil"
551	KA	i5	1				"n. word"
552	|A.ENGUR|	i7	1				"n. waterway"
553	IA	ia	1				
554	IA2	ia2	1				
555	NI	ia3	1				
556	IB	ib	1				"n. corner, angle"
557	TUM	ib2	1				"n. waist, belt"
558	|TUR.USZ|	ibila	1				"n. son, heir, successor"
559	A2	id	1				
560	|A.ENGUR|	id2	1				
561	|A.ENGUR|	id2	1				
562	IDIGNA	idigna	1				"gn. Tigris"
563	BAD	idim	1				"n. spring, underground water;  adj., wild, raging, mad"
564	IG	ig	1				"n. door, entrance"
565	IGI	igi	1				"n. eye, face, front; tt. reciprocal number"
566	AH	ih	1				
567	IG	ik	1				
568	IL	il	1				
569	IL2	il2	1				"v. to carry, to lift"
570	AN	il3	1				
571	|AL.SZE|	il6	1				
572	|ILxKAR2|	il8	1				
573	RU	ilar	1				"n. throwing stick"
574	|A.AM|	ildag2	1				"n. a variety of poplar"
575	|GESZTINxKUR|	ildag4	1				"n. grapevine?"
576	|IGI.SZE3.DU.ERIM|	ildu	1				
577	|IGI.NAGAR.BU|	ildu2	1				
578	|NAGAR.BU|	ildu3	1				
579	BU	ildux	1				
