"Characterqid","Character","ABZ","AKS","ATU1","DP","ELLES","Ebs","FOS","HZL","KWU","LAK","LEC","Labat","MesZL","OAK","PI","Pea","REC","RSP","SEH","UET2","ZATU","ABZL","ŠL/HA","Char image"
"Q87555585","𒄫  CUNEIFORM SIGN HA GUNU (U+1212B)","346","197","85","","196","","[p 691-694]","244A","330","LAK-353","379","346","558","197","","","139","182","346","210","216","222","346","       "
"Q87555588","𒄬  CUNEIFORM SIGN HAL (U+1212C)","2","2","","","002","","8 [p 1]","2","18","LAK-005","108","2","3","2","","[l 142f]","2","76","2","2","250","007","002","      "
"Q87555589","𒄭  CUNEIFORM SIGN HI (U+1212D)","396","229","","","197","","[p 782-784]","335","446","LAK-359","226","396","631","229","","","206","309","396","184","254","277","396","       "
"Q87555592","𒄮  CUNEIFORM SIGN HI TIMES ASH (U+1212E)","405","","430","","","","","","","LAK-361","228","405","634","","","","","","","","255","278","405v2","   "
"Q87555594","𒄯  CUNEIFORM SIGN HI TIMES ASH2 (U+1212F)","401","238","","","202","","[p 807-815]","333","483","LAK-370","230","401","644","238","","","212","315","401","192","293","281","401","          "
"Q87555597","𒄰  CUNEIFORM SIGN HI TIMES BAD (U+12130)","406","235","","","199","","[p 793-799]","355","452","LAK-366","231","406","640","235","","","216","312","406","","","279","406v1","       "
"Q87555599","𒄱  CUNEIFORM SIGN HI TIMES DISH (U+12131)","409e","","","","","","","","","","","409e","659","","","","","","","","","","409e","  "
"Q87555601","𒄲  CUNEIFORM SIGN HI TIMES GAD (U+12132)","407","","","","","","","","588","","","407","650","","","","","","","","","","407","    "
"Q87555602","𒄳  CUNEIFORM SIGN HI TIMES KIN (U+12133)","410","","","","","","","","","","","410","660","","","","","","","","","","410","  "
"Q87555604","𒄴  CUNEIFORM SIGN HI TIMES NUN (U+12134)","398","234","","","201","[l 65]","[p 789-793]","332","485","LAK-367","229","398","636","234","","","210","316","","","","280","398","           "
"Q87555606","𒄵  CUNEIFORM SIGN HI TIMES SHE (U+12135)","400","237","","","","","[p 806f]","334","","LAK-372","419","400","643","","","","213","","","188","125 / 54","287","400","      "
"Q87555609","𒄶  CUNEIFORM SIGN HI TIMES U (U+12136)","","","","","","","","","","","","409","688","","","","","","","","","DÚBUR: 284","409n; 432_2","  "
"Q87555612","𒄷  CUNEIFORM SIGN HU (U+12137)","78","52","65","","040","","[p 166-168]","24","111","LAK-064","6","078","132","52","191","[l 125ff]","33","406","78","34","376","034","078","        "
"Q87555613","𒄸  CUNEIFORM SIGN HUB2 (U+12138)","88","65","","","","","[p 533]","49","","LAK-474","105","088","149","","","[l 621f]","302","","","","","445","088","   "
"Q87555616","𒄹  CUNEIFORM SIGN HUB2 TIMES AN (U+12139)","","","","","","","","","","LAK-475","","089","150","","","","","","","","","","",""
"Q87555618","𒄺  CUNEIFORM SIGN HUB2 TIMES HAL (U+1213A)","","","","","","","","","","","","088","149","","","","","","","","","","",""
"Q87555620","𒄻  CUNEIFORM SIGN HUB2 TIMES KASKAL (U+1213B)","","","","","","","","","","LAK-477","","088","149","","","","","","","282","","","",""
"Q87555622","𒄼  CUNEIFORM SIGN HUB2 TIMES LISH (U+1213C)","","","","","","","","","","","","088","149","","","","","","","","","","",""
"Q87555624","𒄽  CUNEIFORM SIGN HUB2 TIMES UD (U+1213D)","","66","","","","","","50","","LAK-476","","089","150","","","","","425*","","","","446","089","     "
"Q87555626","𒄾  CUNEIFORM SIGN HUL2 (U+1213E)","550","297","","","108","[l 143]","[p 990f]","254","900","LAK-183","345","550","877","","","[l 251f]","125","122","","","","425","550","       "
"Q87555628","𒄿  CUNEIFORM SIGN I (U+1213F)","142","103","","111,VI","073","","","217","230","LAK-135","68","142","252","103","65","[l 465]","","119*","142","85","259","192","142","      "
"Q87555630","𒅀  CUNEIFORM SIGN I A (U+12140)","","104","","","","","[p 352-354]","218","","","","142a","260","","","[l 466]","","","142a","","","193","142a","        "
"Q87555632","𒅁  CUNEIFORM SIGN IB (U+12141)","535","289","366","47,VII","369","","[p 957-960]","44","116","LAK-755","121","535","807","289","224 / 223","","437","103","535","260","260","394","535","         "
"Q87555633","𒅂  CUNEIFORM SIGN IDIM (U+12142)","","","","","","","","","","LAK-004","","069","113","","","","","48","","","N-23","","",""
"Q87555636","𒅃  CUNEIFORM SIGN IDIM OVER IDIM BUR (U+12143)","","","423","","318","","[p 504]","","","LAK-653","","227","377","","","","388","","","","49","","227","  "
"Q87555638","𒅄  CUNEIFORM SIGN IDIM OVER IDIM SQUARED (U+12144)","","","","","","","","","","","","069","113","","","","","","","","","","",""
"Q87555640","𒅅  CUNEIFORM SIGN IG (U+12145)","80","55","","","049","","[p 179-189]","67","74","LAK-082","28","080","136","55","","","","270","80","63","","061","080","         "
"Q87555641","𒅆  CUNEIFORM SIGN IGI (U+12146)","449","261","","","220","","[p 874-876]","288","556","LAK-421","346","449","724","261","","","","66","449","","","233","449","           "
"Q87555643","𒅇  CUNEIFORM SIGN IGI DIB (U+12147)","455","264","","","225","","[p 883-886]","265","568","LAK-432","351","455","731","264","","","247","70","455","","","239b","455","        "
"Q87555645","𒅈  CUNEIFORM SIGN IGI RI (U+12148)","451","263","","","221","","[p 877-880]","289","557","LAK-422","348","451","726","263","","","","","451","","","234","451","        "
"Q87555648","𒅉  CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD (U+12149)","","","","","","","","288","","","","449_46","","","","","","","","","","233","449_46",""
"Q87555649","𒅊  CUNEIFORM SIGN IGI GUNU (U+1214A)","351","200","340","","095","[l 24]","[p 704]","239","274","LAK-437 / LAK-167","102","351","564","200","","","","67","351","245","455","198","351","     "
"Q87555651","𒅋  CUNEIFORM SIGN IL (U+1214B)","205","134","","","","","[p 454-463]","117","726","LAK-502","382","205","348","134","340 / 339","[l 636]","315","374","205","380","262","078","205","          "
"Q87555654","𒅌  CUNEIFORM SIGN IL TIMES GAN2 TENU (U+1214C)","","","","","","","","","","","","205a","349","","","","","","","","","","205a","  "
"Q87555655","𒅍  CUNEIFORM SIGN IL2 (U+1214D)","320","171","","","","[l 112]","[p 595-598]","161","319","LAK-172","92","320","493","171","","","","432","","412","","204","320","       "
"Q87555658","𒅎  CUNEIFORM SIGN IM (U+1214E)","399","236","","","205","","[p 799-805]","337","476","LAK-376","","337","641","236","","","","331","","388","264","297","399","        "
"Q87555660","𒅏  CUNEIFORM SIGN IM TIMES TAK4 (U+1214F)","399,51","","","","","","","","477","LAK-378","","","642","","","","","332","","","","","399_51","  "
"Q87555663","𒅐  CUNEIFORM SIGN IM CROSSING IM (U+12150)","399*","","","","","","","","","","","399","641","","","","","","","","","","399xn","  "
"Q87555664","𒅑  CUNEIFORM SIGN IM OPPOSING IM (U+12151)","","","","","","","","","","","","399","641","","","","","","","","","","",""
"Q87555667","𒅒  CUNEIFORM SIGN IM SQUARED (U+12152)","399**","","","","","","","","","","","399xx","","","","","","","","","","","399xx",""
"Q87555669","𒅓  CUNEIFORM SIGN IMIN (U+12153)","598c","","","","","","[p 1057]","373","","","","598c","863","","","","","","","","","478","598n1","   "
"Q87555671","𒅔  CUNEIFORM SIGN IN (U+12154)","148","110","123","","124","","[p 354-360]","354","649","LAK-214","189","148","261","110","152","[l 677]","","447*","148","","265","386","148","       "
"Q87555672","𒅕  CUNEIFORM SIGN IR (U+12155)","232","147","","51,IV","264","","[p 514-516]","77","785","LAK-507","152","232","437","147","","","","151","232","411","267","263","232","         "
"Q87555674","𒅖  CUNEIFORM SIGN ISH (U+12156)","212","139","","","091","","[p 486-491]","151","278","LAK-163","99","212","357","139","","","97","123","212","104","270","162","212","       "
"Q87555676","𒅗  CUNEIFORM SIGN KA (U+12157)","15","15","","","182","","[p 36-43]","133","414","LAK-318","197* / 213","015","24","15","","","","197*","15","233","271","312","015","         "
"Q87555678","𒅘  CUNEIFORM SIGN KA TIMES A (U+12158)","35","21","","43,I","184","","[p 52f]","148","427","LAK-331","215","035","64","21","","","","199*","","232","","328","035","    "
"Q87555679","𒅙  CUNEIFORM SIGN KA TIMES AD (U+12159)","","","","","","","","","","","","015","","","","","","","","","","","015",""
"Q87555681","𒅚  CUNEIFORM SIGN KA TIMES AD PLUS KU3 (U+1215A)","20","","","","","","","","","","","","34","","","","","","","","","","020","  "
"Q87555683","𒅛  CUNEIFORM SIGN KA TIMES ASH2 (U+1215B)","","","","","","","","","","","","025","46","","","","","","","","","","025n","  "
"Q87555684","𒅜  CUNEIFORM SIGN KA TIMES BAD (U+1215C)","17","","","","","","[p 44]","","416","","213-b","017","29","","","[l 328]","","","","","","314","017","    "
"Q87555686","𒅝  CUNEIFORM SIGN KA TIMES BALAG (U+1215D)","","","","","","","","","","","","","47","","","[l 332]","","","","","","317","025b","  "
"Q87555688","𒅞  CUNEIFORM SIGN KA TIMES BAR (U+1215E)","","","","","","","[p 59]","134","","","","017a","30","","","","","","","","","","017an","   "
"Q87555690","𒅟  CUNEIFORM SIGN KA TIMES BI (U+1215F)","","","","","","","","","","","","015","24","","","","","","","","","","",""
"Q87555691","𒅠  CUNEIFORM SIGN KA TIMES ERIN2 (U+12160)","29*","","","","","","","","","","","","53","","","","","","","","","","029x","  "
"Q87555693","𒅡  CUNEIFORM SIGN KA TIMES ESH2 (U+12161)","","20","","","","","","","","","216","033","62","","","","","","","","","327","033","   "
"Q87555695","𒅢  CUNEIFORM SIGN KA TIMES GA (U+12162)","","","","","","","[p 46]","","","","","","44","","","[l 318]","","","","","","318","025","  "
"Q87555697","𒅣  CUNEIFORM SIGN KA TIMES GAL (U+12163)","","","","","","","","","","","","015","","","","","","","","","","","015",""
"Q87555699","𒅤  CUNEIFORM SIGN KA TIMES GAN2 TENU (U+12164)","19","17","","112,IIX","186","","","","428","LAK-324","210","019","33","17","","","","206*","","234","60","321","019","    "
"Q87555700","𒅥  CUNEIFORM SIGN KA TIMES GAR (U+12165)","","","","43,I","","","[p 53f]","149","425","LAK-330","217","036","65","","168","[l 311f]","","200*","","231","235","329","036","     "
"Q87555702","𒅦  CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A (U+12166)","","","","","","","","","","","","036","66","","","","","","","","","","036a","  "
"Q87555704","𒅧  CUNEIFORM SIGN KA TIMES GI (U+12167)","","","","","","","","","","","","015","24","","","","","","","","","","",""
"Q87555705","𒅨  CUNEIFORM SIGN KA TIMES GIR2 (U+12168)","","","","","","","[p 44]","","417","LAK-320","","015","25","","","","","","","","","","015x","  "
"Q87555709","𒅩  CUNEIFORM SIGN KA TIMES GISH PLUS SAR (U+12169)","","","","","","","","","","","","15","24","","","","","","","","","","",""
"Q87555712","𒅪  CUNEIFORM SIGN KA TIMES GISH CROSSING GISH (U+1216A)","","","","","","","[p 46]","","","","210-c","023","37","","","[l 331]","","","","","","","023","  "
"Q87555714","𒅫  CUNEIFORM SIGN KA TIMES GU (U+1216B)","34","","","","","","[p 52-53]","","","","216-a","034","69","","","","","","","","","","034",""
"Q87555716","𒅬  CUNEIFORM SIGN KA TIMES GUR7 (U+1216C)","","","","","","","","","","","","015","63","","","","","","","","","","033n","  "
"Q87555718","𒅭  CUNEIFORM SIGN KA TIMES IGI (U+1216D)","","","","","","","","","","","","","59","","","","","","","","","","031n2","  "
"Q87555719","𒅮  CUNEIFORM SIGN KA TIMES IM (U+1216E)","30","","","71,I","","","[p 50]","144","421","LAK-326","212","030","54","18","","","","203","","","","322","030","   "
"Q87555722","𒅯  CUNEIFORM SIGN KA TIMES KAK (U+1216F)","","","","","","","","140","","","","015","38","","","","","","","","","","023n","   "
"Q87555724","𒅰  CUNEIFORM SIGN KA TIMES KI (U+12170)","","","","","","","","","","","","031*","60","","","","","","","","","","031x","  "
"Q87555727","𒅱  CUNEIFORM SIGN KA TIMES KID (U+12171)","","","","","","","","","","","","015","24","","","","","","","","","","",""
"Q87555730","𒅲  CUNEIFORM SIGN KA TIMES LI (U+12172)","16","","","","","","[p 44]","146","","","213-a","016","26","","","","","","","","","325","016","    "
"Q87555732","𒅳  CUNEIFORM SIGN KA TIMES LU (U+12173)","","","","","","","","","","","","015","24","","","","","","","","","","",""
"Q87555734","𒅴  CUNEIFORM SIGN KA TIMES ME (U+12174)","32","19","","138,II","187","","[p 50f]","147","426","LAK-334","214","032","61","","","","","198*","","","","326","032","     "
"Q87555736","𒅵  CUNEIFORM SIGN KA TIMES ME PLUS DU (U+12175)","","","","","","","","","","","","032","","","","","","","","","","","032n2",""
"Q87555739","𒅶  CUNEIFORM SIGN KA TIMES ME PLUS GI (U+12176)","","","","","","","","","","","","032","","","","","","","","","","","032n1",""
"Q87555741","𒅷  CUNEIFORM SIGN KA TIMES ME PLUS TE (U+12177)","","","","","","","","","","","","032","","","","","","","","","","","032n3",""
"Q87555742","𒅸  CUNEIFORM SIGN KA TIMES MI (U+12178)","31","","","","","","[p 50]","","","","212-b","031","57","","","","","","","","","","031","  "
"Q87555744","𒅹  CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ (U+12179)","","","","","","","","","","","","015","24","","","","","","","","","","",""
"Q87555747","𒅺  CUNEIFORM SIGN KA TIMES NE (U+1217A)","","","","","","","[p 46]","","","","210-b","022*","35","","","[l 323]","","207","","","","313","022x","  "
"Q87555749","𒅻  CUNEIFORM SIGN KA TIMES NUN (U+1217B)","18","","","","","","[p 44]","135","","","213-c","018","31","","","[l 321]","","","","","","315","018v","    "
"Q87555752","𒅼  CUNEIFORM SIGN KA TIMES PI (U+1217C)","","","","","","","","","","","218-a","028","52","","","","","","","","","","028n","  "
"Q87555754","𒅽  CUNEIFORM SIGN KA TIMES RU (U+1217D)","","","","","","","","","","","","","28","","","","","","","","","","016a","  "
"Q87555756","𒅾  CUNEIFORM SIGN KA TIMES SA (U+1217E)","","","","","","","[p 44f]","136","429","LAK-333","208","018*","32","","","","203","","","","","316","018x","    "
"Q87555757","𒅿  CUNEIFORM SIGN KA TIMES SAR (U+1217F)","","","","","","","[p 46]","","424","LAK-325","","021","45","","","","","207","","","273","324","021","  "
"Q87555759","𒆀  CUNEIFORM SIGN KA TIMES SHA (U+12180)","","","","","","","[p 46]","","419","","","","48","","","","","","","","","","025c","  "
"Q87555761","𒆁  CUNEIFORM SIGN KA TIMES SHE (U+12181)","","","","578,III","","","[p 49]","145","423","LAK-322","211","027","50","","","","","205","","","274","323","027","   "
"Q87555762","𒆂  CUNEIFORM SIGN KA TIMES SHID (U+12182)","","16","","","","","[p 46]","","","","210-d","024","42","","","","","","","","","319","024","  "
"Q87555763","𒆃  CUNEIFORM SIGN KA TIMES SHU (U+12183)","","","","","183","","","","418","LAK-323","209","026","49","","","","","202","","","538","320","026","     "
"Q87555764","𒆄  CUNEIFORM SIGN KA TIMES SIG (U+12184)","","","","","","","","","","","","015","68","","","","","","","","","","035n","  "
"Q87555766","𒆅  CUNEIFORM SIGN KA TIMES SUHUR (U+12185)","","","","","","","","","","","","015","24","","","","","","","","","","",""
"Q87555768","𒆆  CUNEIFORM SIGN KA TIMES TAR (U+12186)","","","","","","","","","","","","015","24","","","","","","","","","","",""
"Q87555770","𒆇  CUNEIFORM SIGN KA TIMES U (U+12187)","","","","","","","","141","","LAK-319","212-a","030*","56","","","","","","","","440","","031n1","   "
"Q87555772","𒆈  CUNEIFORM SIGN KA TIMES U2 (U+12188)","","","","","","","[p 46]","","420","LAK-321","","","43","","","","","204","","","","","024x","  "
"Q87555774","𒆉  CUNEIFORM SIGN KA TIMES UD (U+12189)","","","","","","","[p 49f]","143","","","218","028","51","","","","","","","","","","028","   "
"Q87555776","𒆊  CUNEIFORM SIGN KA TIMES UMUM TIMES PA (U+1218A)","","","","","","","","","","","","015","24","","","","","","","","","","",""
"Q87555777","𒆋  CUNEIFORM SIGN KA TIMES USH (U+1218B)","","","","","","","","","","","","015","39","","","","","","","","","","022xn2","  "
"Q87555779","𒆌  CUNEIFORM SIGN KA TIMES ZI (U+1218C)","","","","","","","","","","LAK-335","","015","24","","","","","","","","","","",""
"Q87555781","𒆍  CUNEIFORM SIGN KA2 (U+1218D)","133","99","","","362","","[p 310-315]","167","845","LAK-735","86","133","222","","","[l 238f]","","135","","","275","175","133","         "
"Q87555784","𒆎  CUNEIFORM SIGN KA2 CROSSING KA2 (U+1218E)","","","","","","","","","","","","133","222","","","","","","","","","","",""
"Q87555785","𒆏  CUNEIFORM SIGN KAB (U+1218F)","88","64","","","249 / 079","","[p 210-212]","49","324","LAK-474 / LAK-147","","088","148","64","227","[l 464]","116","421","","281","277","226","088","      "
"Q87555788","𒆐  CUNEIFORM SIGN KAD2 (U+12190)","63a","37","","","","","[p 128f]","","","","161","063","108","","","","","","","","","","063a","    "
"Q87555790","𒆑  CUNEIFORM SIGN KAD3 (U+12191)","63c","38","","","","","[p 131-135]","227","","","161-a","063","109","","","","","","","","","","063c","  "
"Q87555792","𒆒  CUNEIFORM SIGN KAD4 (U+12192)","354b","205","","","099","[l 112a]","","68","316","LAK-171","","354b","568","","","","","430","","","279","227a","354b","   "
"Q87555793","𒆓  CUNEIFORM SIGN KAD5 (U+12193)","354b","206","","","100","","","","316","LAK-173","","354b","569","","","","","431","","","","227b","354bv","  "
"Q87555795","𒆔  CUNEIFORM SIGN KAD5 OVER KAD5 (U+12194)","","","","","","","","","","","","354b","569","","","","","","","","","","",""
"Q87555797","𒆕  CUNEIFORM SIGN KAK (U+12195)","230","145","526","","262","[l 132]","[p 510f]","75","775","LAK-504","","230","379","145","","","","147*","230","392","280","260","230","        "
"Q87555799","𒆖  CUNEIFORM SIGN KAK TIMES IGI GUNU (U+12196)","","","","","","","","","","","136","230","379","","","","","","","","","","",""
"Q87555801","𒆗  CUNEIFORM SIGN KAL (U+12197)","322","173","","","349","","[p 601-605]","196","803","LAK-709b","286","322","496","173","370","","237","","322","326","281","176","322","         "
"Q87555802","𒆘  CUNEIFORM SIGN KAL TIMES BAD (U+12198)","323","","","","","","[p 605]","40","","","286-a","323","497","","","","","","","","","","323","   "
"Q87555805","𒆙  CUNEIFORM SIGN KAL CROSSING KAL (U+12199)","","","","","","","","","","","","322n","496","","","","","","","","","","322n","  "
"Q87555807","𒆚  CUNEIFORM SIGN KAM2 (U+1219A)","279","106","","","","","","","452","LAK-366","","","595","","","","","","","","","","406v2","   "
"Q87555809","𒆛  CUNEIFORM SIGN KAM4 (U+1219B)","","","","","017","[l 18]","[p 122f]","","","LAK-029","173-c","060*","97","","","","","","","","","268","060x","   "
"Q87555811","𒆜  CUNEIFORM SIGN KASKAL (U+1219C)","166","116","351","","156","","[p 399f]","259","359","LAK-273","178","166","302","116","36","","","116*","166","128","285","271","166","      "
"Q87555813","𒆝  CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U (U+1219D)","","","","","","","","","","","","166e","307","","","","","","","","","272","166ee","  "
"Q87555814","𒆞  CUNEIFORM SIGN KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U (U+1219E)","","","","","","","","","","","","166e","307","","","","","","","","","","166een","  "
"Q87555817","𒆟  CUNEIFORM SIGN KESH2 (U+1219F)","152","","","","300","","[p 383f]","","841","LAK-612","302","152","271","","","","36 / 365","285","","307","","","","     "
"Q87555819","𒆠  CUNEIFORM SIGN KI (U+121A0)","461","269","","57,III","228","","[p 900-910]","313","481","LAK-440","222","461","737","269","","","254","165","461","191","289","432","461","            "
"Q87555821","𒆡  CUNEIFORM SIGN KI TIMES BAD (U+121A1)","","","","","","","","","","","","462","738","","","","","","","","","430","462v","    "
"Q87555823","𒆢  CUNEIFORM SIGN KI TIMES U (U+121A2)","462","","","","","","29950 [p 910]","","","","222-a","462","740","","","","","","","","","430","462","   "
"Q87555826","𒆣  CUNEIFORM SIGN KI TIMES UD (U+121A3)","463","","","","","","29953 [p 910]","","","","222-b","463","739","","","","","","","","","","463","   "
"Q87555828","𒆤  CUNEIFORM SIGN KID (U+121A4)","313","166","","","361","","[p 567-572]","194","","LAK-733","85-a","313","484","166","","","423","252","313","366","291","163","313","          "
"Q87555831","𒆥  CUNEIFORM SIGN KIN (U+121A5)","538","294","","","101","","[p 971-979]","47","897","LAK-174","106","538","815","","","","","394","538","112 / 111","292","447","538","         "
"Q87555835","𒆦  CUNEIFORM SIGN KISAL (U+121A6)","249","149","475","","353","[l 8]","[p 526f]","228","804","LAK-723","262","249","435","","","","415","249*","","357","295","161","249","       "
"Q87555836","𒆧  CUNEIFORM SIGN KISH (U+121A7)","425","247","","","139","","[p 832f]","273","","LAK-248","240","425","678","247","297","","224","","","","297","291a","425","        "
"Q87555841","𒆨  CUNEIFORM SIGN KISIM5 (U+121A8)","404*,1","","","","","","","278","","","","396","687","","","","","","","","","","396n3","     "
"Q87555843","𒆩  CUNEIFORM SIGN KISIM5 OVER KISIM5 (U+121A9)","","","","","","","","","","","","404x_2","687","","","","","","","","","","404x_2","   "
"Q87555846","𒆪  CUNEIFORM SIGN KU (U+121AA)","536","290","","","387","","[p 960-962]","206","869","","","536","808","290","","","467","253*","536","384","","415","536","        "
"Q87555847","𒆫  CUNEIFORM SIGN KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2 (U+121AB)","","","","","","","","","","","","099b2","","","","","","","","","","","099b2",""
"Q87555850","𒆬  CUNEIFORM SIGN KU3 (U+121AC)","468","272","","","226","","[p 918-928]","69","499","LAK-438","376","468","745","272","","","252","385","468","182","301","428","468","           "
"Q87555853","𒆭  CUNEIFORM SIGN KU4 (U+121AD)","58","","","","","","","","636","","186","058","87","","","","","","","","","375","058","    "
"Q87555856","𒆮  CUNEIFORM SIGN KU4 VARIANT FORM (U+121AE)","","","","","","","","","","","","058","87","","","","","444","","","","","",""
"Q87555859","𒆯  CUNEIFORM SIGN KU7 (U+121AF)","110","","","","284","[l 36]","[p 267]","184","822","LAK-535","325-a","110","171","","373","[l 283f]","344","222","","","249","070","110","      "
"Q87555860","𒆰  CUNEIFORM SIGN KUL (U+121B0)","72","45","","26,I","007","[l 127]","[p 152f]","12","7","LAK-012","34","072","117","45","","","","85","72","41","","026","072","         "
"Q87555863","𒆱  CUNEIFORM SIGN KUL GUNU (U+121B1)","","","","","","","","","","","","072","117","","","","","","","","","","072a","  "
"Q87555865","𒆲  CUNEIFORM SIGN KUN (U+121B2)","77","51","","","368","[l 59]","[p 164-166]","35","109","LAK-026 / LAK-754","11","077","131","","","","","343","","","","032","077","         "
"Q87555867","𒆳  CUNEIFORM SIGN KUR (U+121B3)","366","211","","","241","[l 125]","[p 734-736]","329","341","LAK-814","38","366","578","211","170","[l 447]","287","65","366","418","304","369","366","         "
"Q87555868","𒆴  CUNEIFORM SIGN KUR OPPOSING KUR (U+121B4)","","","","","","","","","","","","366","578","","","","","","","","","","366_87","  "
"Q87555871","𒆵  CUNEIFORM SIGN KUSHU2 (U+121B5)","562","304","116","","175","","[p 1012f]","","794","LAK-304","146","562","896","304","","","","174*","","","579 / 305","457","562","     "
"Q87555874","𒆶  CUNEIFORM SIGN KWU318 (U+121B6)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87555876","𒆷  CUNEIFORM SIGN LA (U+121B7)","55","27","","","321","","[p 83-94]","95","772","LAK-663","293","055","89","27","157","[l 179f]","","308","55","","306","177","055","          "
"Q87555879","𒆸  CUNEIFORM SIGN LAGAB (U+121B8)","483","280","753","","372","[l 109]","[p 934f]","179","860","LAK-766","254","483","755","280","","","","229*","","261","308","402","483","          "
"Q87555881","𒆹  CUNEIFORM SIGN LAGAB TIMES A (U+121B9)","522","285","","","384 / 375","","[p 951]","182","890","LAK-785","272","522","795","","","","","263","","271","488","414","522","      "
"Q87555885","𒆺  CUNEIFORM SIGN LAGAB TIMES A PLUS DA PLUS HA (U+121BA)","523*; 524","","","","","","[p 951f]","","","","","523x; 524","797","","","","","","","","","","523x; 524","   "
"Q87555886","𒆻  CUNEIFORM SIGN LAGAB TIMES A PLUS GAR (U+121BB)","526","","","","","","[p 952]","","","","272-a","526","799","","","","","","","","","","526","   "
"Q87555888","𒆼  CUNEIFORM SIGN LAGAB TIMES A PLUS LAL (U+121BC)","","","","","","","[p 952]","","","","272-a","525","798","","","","","","","","","","525","   "
"Q87555891","𒆽  CUNEIFORM SIGN LAGAB TIMES AL (U+121BD)","498","","","","","","[p 945]","","","","","498","773","","","","","","","","","","498","   "
"Q87555894","𒆾  CUNEIFORM SIGN LAGAB TIMES AN (U+121BE)","","","","","376","","","","","LAK-769","","484a","758","","","","","","","","","","484a","   "
"Q87555896","𒆿  CUNEIFORM SIGN LAGAB TIMES ASH ZIDA TENU (U+121BF)","486,1; 504","","","","","","","","","","","504","778","","","","","","","","","","504","   "
"Q87555898","𒇀  CUNEIFORM SIGN LAGAB TIMES BAD (U+121C0)","486","","","","","[l 106]","[p 939f]","224","870","","259","486","760","","","[l 56]","","","486","","","405","486","       "
"Q87555900","𒇁  CUNEIFORM SIGN LAGAB TIMES BI (U+121C1)","496","","","","","","[p 945]","","879","","","496","769","","","","","","","","","","496","   "
"Q87555901","𒇂  CUNEIFORM SIGN LAGAB TIMES DAR (U+121C2)","489","","","","","","[p 940]","","","","","489","765","","","","","","","","","","489","   "
"Q87555903","𒇃  CUNEIFORM SIGN LAGAB TIMES EN (U+121C3)","","","","","","","","","","","","488b","764","","","","","","","","","","488b","   "
"Q87555905","𒇄  CUNEIFORM SIGN LAGAB TIMES GA (U+121C4)","","","","","","","","","","","","499","775","","","","","","","","","","499n","   "
"Q87555908","𒇅  CUNEIFORM SIGN LAGAB TIMES GAR (U+121C5)","528","","","","","","[p 952]","55","","","272-b","528","801","","","","","","","","","408","528","     "
"Q87555910","𒇆  CUNEIFORM SIGN LAGAB TIMES GUD (U+121C6)","493","","","","","","31025 [p 945]","","","","","493","772","","","","","","","","","407","493","   "
"Q87555911","𒇇  CUNEIFORM SIGN LAGAB TIMES GUD PLUS GUD (U+121C7)","494","282","","","382","","[p 942-945]","45","882","LAK-781","283","494","766","282","253 / 252","","","258*","","265","571","399","494","       "
"Q87555913","𒇈  CUNEIFORM SIGN LAGAB TIMES HA (U+121C8)","527","","","","","","[p 952]","","","LAK-784","","527","800","","255","","460","","","","313","","527","   "
"Q87555914","𒇉  CUNEIFORM SIGN LAGAB TIMES HAL (U+121C9)","484","","","","","","[p 935-938]","216","872","LAK-768","282","484","756","314","","[l 53]","451","264","","","","404","484","      "
"Q87555917","𒇊  CUNEIFORM SIGN LAGAB TIMES HI TIMES NUN (U+121CA)","509","","","","","","[p 947]","","","","","509","784","","","","","","","","","","509","   "
"Q87555919","𒇋  CUNEIFORM SIGN LAGAB TIMES IGI GUNU (U+121CB)","","","","","","","[p 946f]","","881","LAK-782","269","500","776","","258","","","265*","","","22","409","500; 501","   "
"Q87555922","𒇌  CUNEIFORM SIGN LAGAB TIMES IM (U+121CC)","510","18","","","","","[p 948]","","","","269-a","510","785","18","","","","","","","","","510","   "
"Q87555923","𒇍  CUNEIFORM SIGN LAGAB TIMES IM PLUS HA (U+121CD)","","","","","","","","","","","","483","755","","","","","","","","","","",""
"Q87555925","𒇎  CUNEIFORM SIGN LAGAB TIMES IM PLUS LU (U+121CE)","","","","","","","","","","","","483","755","","","","","","","","","","",""
"Q87555928","𒇏  CUNEIFORM SIGN LAGAB TIMES KI (U+121CF)","514","","","","","","[p 949]","","","","","514","789","","","","","","","","","","514","   "
"Q87555931","𒇐  CUNEIFORM SIGN LAGAB TIMES KIN (U+121D0)","519","","","","","","[p 950]","","","","","519","794","","","","","","","","","","519","   "
"Q87555934","𒇑  CUNEIFORM SIGN LAGAB TIMES KU3 (U+121D1)","513; 506","","","","","","[p 949]","","","","284-a","513","790","","","[l 57]","","","","","","","513","    "
"Q87555935","𒇒  CUNEIFORM SIGN LAGAB TIMES KUL (U+121D2)","","","","","","","30842 [p 939]","","874","","259-a","487","761","","","","","","","","","406","487","     "
