"Characterqid","Character","ABZ","AKS","ATU1","DP","ELLES","Ebs","FOS","HZL","KWU","LAK","LEC","Labat","MesZL","OAK","PI","Pea","REC","RSP","SEH","UET2","ZATU","ABZL","ŠL/HA","Char image"
"Q123262643","CUNEIFORM SIGN ENDIB (𒂗 × 𒈨 × 𒈬)","","","","","","","","","","","","","","","","","","","","","139","","",""
"Q123262660","CUNEIFORM SIGN ENGIZ (𒂗 × 𒈨 × 𒄀)","","","","","","","","","","","","","","","","","","","","","140","","",""
"Q122417472","CUNEIFORM SIGN ER2 (𒀀 & 𒅆)","","313","","159,I","","","","","","","","","","313","","","","52*","","","","","",""
"Q122416728","CUNEIFORM SIGN ERIM2 (𒉈 & 𒊒)","","123","","","","","","","","","","","","123","","","","363","","","144","","",""
"Q123226372","CUNEIFORM SIGN ESHDA (𒂷 & 𒄑)","","","662","","","","","","","LAK-489","","","","","421","","","","","","147","","",""
"Q123226423","CUNEIFORM SIGN ESHDA TIMES TAR ((𒂷 & 𒄑) × 𒋻)","","","663","","","","","","","","","","","","","","","","","","148","","",""
"Q123118599","CUNEIFORM SIGN ESHSAD (𒍠 & 𒄩)","","","","","","","","","","","","","","","","","","389","","","","","",""
"Q123156347","CUNEIFORM SIGN EZEN TIMES EN (𒂡 × 𒂗)","","","633","","","","","","","","","","","","","","","","","","151","","",""
"Q122915123","CUNEIFORM SIGN EZEN TIMES HAL (𒂡 × 𒄬)","","","","","","","","","","LAK-614","","","","","","","","","","","","","",""
"Q123156356","CUNEIFORM SIGN EZEN TIMES KAB (𒂡 × 𒆏)","","","634","","","","","","","","","","","","","","","","","","152","","",""
"Q123156366","CUNEIFORM SIGN EZEN TIMES NIM (𒂡 × 𒉏)","","","","","","","","","","","","","","","","","","","","","153","","",""
"Q123156380","CUNEIFORM SIGN EZEN TIMES NIMGIR (𒂡 × 𒂇)","","","632","","","","","","","LAK-622","","","","","","","","","","303","154","","",""
"Q123156388","CUNEIFORM SIGN EZEN TIMES RAD (𒂡 × 𒋥)","","","635","","","","","","","","","","","","","","","","","","155","","",""
"Q123301232","CUNEIFORM SIGN EZEN TIMES U2 TIMES A (𒂡 × 𒌑 × 𒀀)","","","","","","","","","","","","","","","","","","","","","157","","",""
"Q123226551","CUNEIFORM SIGN GA TIMES U (𒂵 × 𒌋)","","","","","","","","","","","","","","","","","","","","","160","","",""
"Q123226572","CUNEIFORM SIGN GA TIMES ZATU 753 (𒂵 × 𒓯)","","","","","","","","","","","","","","","","","","","","","161","","",""
"Q122924776","CUNEIFORM SIGN GA.KASKAL (𒂵 & 𒆜)","","","","","","","","","","LAK-728","","","","","","","","","","","","","",""
"Q123156536","CUNEIFORM SIGN GA2 TIMES AB (𒂷 × 𒀊)","","","591","","","","","","","","","","","","","","","","","","163","","",""
"Q123226587","CUNEIFORM SIGN GA2 TIMES BAD TIMES DISH (𒂷 × 𒁁 × 𒁹)","","","","","","","","","","","","","","","","","","","","328","165","","",""
"Q123262705","CUNEIFORM SIGN GA2 TIMES GIR (𒂷 × 𒄫)","","","","","","","","","","","","","","","","","","","","","167","","",""
"Q123156840","CUNEIFORM SIGN GA2 TIMES GISH TENU (𒂷 × 𒄕)","","","579","","","","","","","","","","","","","","","","","","168","","",""
"Q123301285","CUNEIFORM SIGN GA2 TIMES GU4 TIMES SHE3 (𒂷 × 𒄞 × 𒂠)","","","","","","","","","","","","","","","","","","","","321","169","","",""
"Q122937571","CUNEIFORM SIGN GA2 TIMES HA.HA","","","","","347","","","","","LAK-695","","","","","","","","","","","174","","",""
"Q123156980","CUNEIFORM SIGN GA2 TIMES HI (𒂷 × 𒄭)","","","577","","","","","","","","","","","","","","","","","","170","","",""
"Q123226614","CUNEIFORM SIGN GA2 TIMES HI TIMES SUHUR (𒂷 × 𒄭 × 𒋦)","","","","","","","","","","","","","","","","","","","","","171","","",""
"Q123157520","CUNEIFORM SIGN GA2 TIMES KU3 (𒂷 × 𒆬)","","","","","","","","","","","","","","","","","","","","","172","","",""
"Q123157541","CUNEIFORM SIGN GA2 TIMES KUR (𒂷 × 𒆳)","","","","","","","","","","","","","","","","","","","","","175","","",""
"Q122915030","CUNEIFORM SIGN GA2 TIMES LI (𒂷 × 𒇷)","","","","","","","","","","LAK-693","","","","","","","","","","","","","",""
"Q123157557","CUNEIFORM SIGN GA2 TIMES MASH (𒂷 × 𒈦)","","","","","","","","","","","","","","","","","","","","","176","","",""
"Q123157569","CUNEIFORM SIGN GA2 TIMES NAGA (𒂷 × 𒉀)","","","","","","","","","","","","","","","","","","","","","177","","",""
"Q123157580","CUNEIFORM SIGN GA2 TIMES NI (𒂷 × 𒉌)","","","","","","","","","","","","","","","","","","","","","178","","",""
"Q121508538","CUNEIFORM SIGN GA2 TIMES NU (𒂷 × 𒉡)","","","","","","","","","","","","","","","","","","","","","","095","",""
"Q122937935","CUNEIFORM SIGN GA2 TIMES SAL.KUR","","","","","345","","","","","","","","","","","","","","","","","","",""
"Q121508668","CUNEIFORM SIGN GA2 TIMES SHU2","","","","","","","","","","","","","","","","","","","","","","","",""
"Q122937980","CUNEIFORM SIGN GA2 TIMES SILA3 (𒂷 × 𒋡)","","","","","337","","","","","","","","","","","","","","","","","","",""
"Q123157589","CUNEIFORM SIGN GA2 TIMES SUHUR (𒂷 × 𒋦)","","","574","","","","","","","","","","","","","","","","","","179","","",""
"Q123157622","CUNEIFORM SIGN GA2 TIMES SUMASH (𒂷 × 𒋨)","","","574","","","","","","","","","","","","356","","","","","","181","","",""
"Q123157642","CUNEIFORM SIGN GA2 TIMES U (𒂷 × 𒌋)","","","578","","","","","","","","","","","","","","","","","","182","","",""
"Q120270760","CUNEIFORM SIGN GAD.KID2 (𒃰 & 𒋺)","","","","","","","","","","","","","158","","","","","","","","","","092",""
"Q120279053","CUNEIFORM SIGN GAKKUL (𒌋 & 𒁵)","","","","","","","[p 823]","","","","358-b","416","668","","","[l 889]","","","","","","339","416",""
"Q120278755","CUNEIFORM SIGN GAKKUL3 (𒌋 & 𒁴)","","","","","","","","","","","","","667","","","","","","","","","338","415a",""
"Q123118572","CUNEIFORM SIGN GALA (𒍑 & 𒆪)","","","","278,III","","","","","","","","","","","","","","417*","","","","","",""
"Q123160119","CUNEIFORM SIGN GALAM GUNU (𒃴@g)","","","87 / 86","","","","","","","","","","","","","","","","","","495","","",""
"Q122915428","CUNEIFORM SIGN GAN SHESHIG (𒃶@s)","","","","","","","","","","LAK-645","","","","","","","","","","","","","",""
"Q123226789","CUNEIFORM SIGN GAN TIMES GISH TIMES DIN (𒃶 × 𒄑 × 𒁷)","","","","","","","","","","","","","","","","","","","","","191","","",""
"Q123157707","CUNEIFORM SIGN GAN TIMES LAGAB (𒃶 × 𒆸)","","","","","","","","","","","","","","","","","","","","","192","","",""
"Q123157732","CUNEIFORM SIGN GAN TIMES NE (𒃶 × 𒉈)","","","","","","","","","","","","","","","","","","","","","193","","",""
"Q123157757","CUNEIFORM SIGN GAN TIMES SHE (𒃶 × 𒊺)","","","","","","","","","","","","","","","","","","","","","194","","",""
"Q123157800","CUNEIFORM SIGN GAR GUNU (𒃻@g)","","","537-540","","","","","","","","","","","","","","","","","","197","","",""
"Q123087797","CUNEIFORM SIGN GASHAM (𒉣 & 𒈨 & 𒋳)","","","","","","","","","","","","","","","","","","96","","","","","",""
"Q120352664","CUNEIFORM SIGN GEME2 (𒊩 & 𒆳)","","303","","49,IV","","[l 84]","[p 1006f]","305","793","LAK-041","148","558","890","303","303","","","173","","398","201","459","558",""
"Q123226848","CUNEIFORM SIGN GI OVER GI OVER GI TIMES SIG2 ((𒄀 / 𒄀 / 𒄀) × 𒋠)","","","109","","","","","","","","","","","","","","","","","","205","","",""
"Q123226891","CUNEIFORM SIGN GI OVER GI TIMES SHE3 (𒄀 / 𒄀 × 𒂠)","","","","","","","","","","","","","","","","","","","","","206","","",""
"Q123227010","CUNEIFORM SIGN GI TIMES GISH TENU (𒄀 × 𒄕)","","","","","","","","","","","","","","","","","","","","","207","","",""
"Q123157846","CUNEIFORM SIGN GI TIMES NAM2 (𒄀 × 𒉇)","","","107","","","","","","","","","","","","142","","","","","","209","","",""
"Q123157864","CUNEIFORM SIGN GI TIMES SIG2 (𒄀 × 𒋠)","","","108","","","","","","","","","","","","","","","","","","210","","",""
"Q123157880","CUNEIFORM SIGN GI TIMES U (𒄀 × 𒌋)","","","105","","","","","","","","","","","","","","","","","","211","","",""
"Q123227019","CUNEIFORM SIGN GI.LAGAB (𒄀 & 𒆸)","","","106","","","","","","","","","","","","","","","","","","208","","",""
"Q120351367","CUNEIFORM SIGN GIBIL2 (𒋙 & 𒀾)","","","","","","","[p 990]","","","","361-b","548","875","","","[l 122]","","","548","","","427","548",""
"Q123301405","CUNEIFORM SIGN GIBIL6 (𒄀 × 𒉈)","","","","","","","","","","","","","","","","","","","","","215","","",""
"Q120269859","CUNEIFORM SIGN GIDIM2 (𒈦 & 𒌋)","","","","","","","","","","","","","125","","","","","","","","","","074_335",""
"Q123262721","CUNEIFORM SIGN GIR GUNU (𒄫@g)","","","","","","","","","","","","","","","","","","","","","217","","",""
"Q123157936","CUNEIFORM SIGN GIR3 GUNU (𒄊@g)","","","","","","","","","","","","","","","","","","","","","221","","",""
"Q123301433","CUNEIFORM SIGN GIR3 TIMES SHE (𒄊 × 𒊺)","","","","","","","","","","","","","","","","","","","","","220","","",""
"Q120279982","CUNEIFORM SIGN GIR4 (𒌋 & 𒀜)","","","","236,I","","","[p 840]","266","545","LAK-414","340","430","683","","","","","15","","181","","342","430",""
"Q123262786","CUNEIFORM SIGN GISH TIMES LA2 (𒄑 × 𒇲)","","","","","","","","","","","","","","","","","","","","","225","","",""
"Q123301720","CUNEIFORM SIGN GIZZAL_X (𒉿 & 𒉀)","","","","","","","","","","","","","","","","","","","","","231","","",""
"Q122937184","CUNEIFORM SIGN GU2 SHESHIG (𒄘@s)","","","","","","","","","","LAK-555","","","","","","","","","","","","","",""
"Q122937195","CUNEIFORM SIGN GU2 TIMES PA (𒄘 × 𒉺)","","","","","","","","","","LAK-551","","","","","","","","","","","","","",""
"Q122915246","CUNEIFORM SIGN GU2 TIMES PAP (𒄘 × 𒉽)","","","","","","","","","","LAK-552","","","","","","","","","","","","","",""
"Q122937157","CUNEIFORM SIGN GU2.NUNUZ (𒄘 & 𒉭)","","","","","","","","","","LAK-557","","","","","","","","","","","","","",""
"Q122937886","CUNEIFORM SIGN GUD TIMES BAD (𒄞 × 𒁁)","","","","","068","","","","","","","","","","","","","","","","","","",""
"Q120349250","CUNEIFORM SIGN GUG (𒍝 & 𒄢)","","318","","220,11","","","[p 1044]","","","LAK-799","135","591","858","","","","","78*","","","","","591",""
"Q123158004","CUNEIFORM SIGN GUG2 TIMES SILA3 (𒈖 × 𒋡)","","","","","","","","","","","","","","","","","","","","","238","","",""
"Q123158013","CUNEIFORM SIGN GUG2 TIMES TUR (𒈖 × 𒌉)","","","","","","","","","","","","","","","","","","","","","239","","",""
"Q123089333","CUNEIFORM SIGN GUKKAL (𒇻 & 𒄾)","","","781-784","156,VI","379","","","","","LAK-776","","","","","","","","261","","274","240","","",""
"Q123262802","CUNEIFORM SIGN GUKKAL TIMES HI GUNU ((𒇻 & 𒄾) × 𒄭@g)","","","785","","","","","","","","","","","","","","","","","","241","","",""
"Q123158111","CUNEIFORM SIGN GUM NUTILLU (𒄣@n)","","","","","","","","","","","","","","","","","","","","","244","","",""
"Q120271361","CUNEIFORM SIGN GUN (𒄘 & 𒌧)","","81","","","","","[p 262-265]","201","","","","","179","","","","","","","","","089","108x",""
"Q123158155","CUNEIFORM SIGN GURUSH TIMES TAR (𒄨 × 𒋻)","","","745 / 744 / 743","","","","","","","","","","","","","","","","","","248","","",""
"Q123118662","CUNEIFORM SIGN GUSHKIG (𒆬 & 𒄀)","","","","","","","","","","","","","","","","","","386*","","","","","",""
"Q122947692","CUNEIFORM SIGN HA GUNU TIMES IGI.LU","","","","","142","","","","","LAK-250","","","","","","","","","","","","","",""
"Q123158024","CUNEIFORM SIGN HI GUNU (𒄭@g)","","","431 / 432","","","","","","","","","","","","291","","","","","","258","","",""
"Q122936823","CUNEIFORM SIGN HI TIMES ASH2.HI TIMES ASH2","","","","","","","","","","LAK-371","","","","","","","","","","","","","",""
"Q122914875","CUNEIFORM SIGN HI TIMES HAL (𒄭 × 𒄬)","","","","","","","","","","LAK-365","","","","","","","","","","","","","",""
"Q123262829","CUNEIFORM SIGN HI TIMES ZATU 707 (𒄭 × ZATU 707)","","","","","","","","","","","","","","","","","","","","","257","","",""
"Q122811328","CUNEIFORM SIGN HI.A (𒄭 & 𒀀)","","","","","","","","","","LAK-360","","","","","","","","","","","","","",""
"Q122924604","CUNEIFORM SIGN HI.SUHUR (𒄭 & 𒋦)","","","","","","","","","","LAK-223","","","","","","","","","","","256","","",""
"Q123302196","CUNEIFORM SIGN HU.UR3 (𒄷 & 𒃡)","","","77","","","","","","","","","","","","","","","","","","377","","",""
"Q120303475","CUNEIFORM SIGN HUL (𒅆 & 𒌨)","","265","","","224","","[p 891]","290","565","LAK-428","140","456","733","","","","245","71*","456","","","240","456",""
"Q120303812","CUNEIFORM SIGN HUL4 (𒅆 & 𒌪)","456a","","","","","","29335 [p 891]","","566","","","","734","","","","","","","","","","456a",""
"Q120275832","CUNEIFORM SIGN IA9 (𒀼 &  𒋰)","","","","","","","","","","","","","513","","","","","","","","","","329a",""
"Q122417286","CUNEIFORM SIGN ID2 (𒀀 & 𒇉)","","314","","217,II","","","","","","","","","","314","","","","54","","","","","",""
"Q120269385","CUNEIFORM SIGN IDIGNA (𒈦 & 𒄘 &  𒃼)","","","75 / 74 / 294 / 76","","039","[l 34]","[p 158]","253","104","LAK-063b","10","","124","","","","28","347","","50","261","030 / 087","074_238",""
"Q123055614","CUNEIFORM SIGN IGI.NIGIN (𒅆 & 𒆸)","","","","622,IX","","","","","","","","","","","","","","69","","","","","",""
"Q122924635","CUNEIFORM SIGN IGI.SUHUR (𒅆 & 𒋦)","","","","","","","","","","LAK-224","","","","","","","","","","","","","",""
