
79	(buru5)		U+12245	CUNEIFORM SIGN NAM NUTILLU
79	nam		U+12246	CUNEIFORM SIGN NAM
79*	bur5			(U+12137 HU plus U+122BA SHE plus U+1209F ERIN2)
80	ig		U+12145	CUNEIFORM SIGN IG
81	mud			(U+12137 HU plus U+1212D HI)
82	sa4			(U+12137 HU plus U+1223F NA2)
83	šita3		U+122E5	CUNEIFORM SIGN SUD2
84	zi		U+12363	CUNEIFORM SIGN ZI
85	gi		U+12100	CUNEIFORM SIGN GI
86	ri		U+12291	CUNEIFORM SIGN RI
87	nun		U+12263	CUNEIFORM SIGN NUN
87	(uš6)		U+12265	CUNEIFORM SIGN NUN LAGAR TIMES MASH
87	(agargara)		U+12269	CUNEIFORM SIGN NUN TENU
87a	tur3			(U+12263 NUN plus U+121EC LAGAR)
87b	šilam		U+12266	CUNEIFORM SIGN NUN LAGAR TIMES SAL
87c	(akar)		U+1226C	CUNEIFORM SIGN NUN CROSSING NUN LAGAR OVER LAGAR
88	hub2		U+12138	CUNEIFORM SIGN HUB2
88	gub3		U+1218F	CUNEIFORM SIGN KAB
89	tun		U+1213D	CUNEIFORM SIGN HUB2 TIMES UD
90	gada		U+120F0	CUNEIFORM SIGN GAD
91	(kinda)		U+120F1	CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR
92	akkil			(U+120F0 GAD plus U+122FA TAK4 plus U+122DB SI)
92b	umbin		U+12322	CUNEIFORM SIGN UMBIN
93	šinig		U+122D2	CUNEIFORM SIGN SHINIG
94	dim		U+12074	CUNEIFORM SIGN DIM
95	mun		U+12075	CUNEIFORM SIGN DIM TIMES SHE
96	bulug		U+12051	CUNEIFORM SIGN BULUG
96a	(šembulug)		U+12052	CUNEIFORM SIGN BULUG OVER BULUG
97	ag		U+1201D	CUNEIFORM SIGN AK
98	me3		U+1201E	CUNEIFORM SIGN AK TIMES ERIN2
99	en		U+12097	CUNEIFORM SIGN EN
100	dara3		U+12070	CUNEIFORM SIGN DARA3
101	sur		U+122E9	CUNEIFORM SIGN SUR
102	muš2		U+1223D	CUNEIFORM SIGN MUSH3 GUNU
103	innin		U+12239	CUNEIFORM SIGN MUSH3
103a	še12		U+1223A	CUNEIFORM SIGN MUSH3 TIMES A
103b	še4		U+1223B	CUNEIFORM SIGN MUSH3 TIMES A PLUS DI
104	ašgab		U+1203F	CUNEIFORM SIGN ASHGAB
104	sa		U+12293	CUNEIFORM SIGN SA
105	gan2		U+120F7	CUNEIFORM SIGN GAN2
105	kar2		U+120F8	CUNEIFORM SIGN GAN2 TENU
106	gu2		U+12118	CUNEIFORM SIGN GU2
107	usan		U+1211B	CUNEIFORM SIGN GU2 TIMES NUN
108	dur		U+12119	CUNEIFORM SIGN GU2 TIMES KAK
108*	gun			(U+12118 GU2 plus U+12326 UN)
109	lal3		U+122ED	CUNEIFORM SIGN TA TIMES HI
110	ku7		U+121AF	CUNEIFORM SIGN KU7
111	gur		U+12125	CUNEIFORM SIGN GUR
112	si		U+122DB	CUNEIFORM SIGN SI
113	si4		U+122DC	CUNEIFORM SIGN SI GUNU
114	dar		U+1206F	CUNEIFORM SIGN DAR
115	sag		U+12295	CUNEIFORM SIGN SAG
116	(muh2)		U+1229A	CUNEIFORM SIGN SAG TIMES KAK
117	(uru10)		U+12298	CUNEIFORM SIGN SAG TIMES DUB
118	dilib3		U+122A0	CUNEIFORM SIGN SAG TIMES SHID
119	kan3		U+1229D	CUNEIFORM SIGN SAG TIMES MI
120	(eru3)		U+1229F	CUNEIFORM SIGN SAG TIMES SAL
121	(gud2)		U+122A5	CUNEIFORM SIGN SAG TIMES UR
122	ma2		U+12223	CUNEIFORM SIGN MA2
122a	dimgul			(U+12223 MA2 plus U+1222E MUG)
122b	(sur9)		U+122EA	CUNEIFORM SIGN SUR9
122b	ud5		U+1235A	CUNEIFORM SIGN UZ3
123	dir			(U+122DB SI plus U+12000 A)
124	limmu2		U+121F9	CUNEIFORM SIGN LIMMU2
124	tab		U+122F0	CUNEIFORM SIGN TAB
125	megida			(U+122F0 TAB plus U+122FE TI)
126	šum		U+122F3	CUNEIFORM SIGN TAG
126a	(tibir5)		U+122F4	CUNEIFORM SIGN TAG TIMES BI
126b	(silig4)		U+122F5	CUNEIFORM SIGN TAG TIMES GUD
126d	(silig2)		U+122F9	CUNEIFORM SIGN TAG TIMES UD
126f	(tibir2)		U+122F7	CUNEIFORM SIGN TAG TIMES SHU
126f	(silig3)		U+122F8	CUNEIFORM SIGN TAG TIMES TUG2
128	ab		U+1200A	CUNEIFORM SIGN AB
128a	AB×AŠ2		U+1200B	CUNEIFORM SIGN AB TIMES ASH2
129	nap		U+1202E	CUNEIFORM SIGN AN OVER AN
129a	mul		U+1202F	CUNEIFORM SIGN AN THREE TIMES
130	ug		U+1228C	CUNEIFORM SIGN PIRIG TIMES UD
131a	nib2			(variant of Labat sign 444)
131	az		U+1228D	CUNEIFORM SIGN PIRIG TIMES ZA
132	urudu		U+1234F	CUNEIFORM SIGN URUDA
132	urudu		U+12350	CUNEIFORM SIGN URUDA TIMES U
133	ka2		U+1218D	CUNEIFORM SIGN KA2
134	um		U+1231D	CUNEIFORM SIGN UM
135	(samag2)		U+12320	CUNEIFORM SIGN UM TIMES SHA3
136	(samag)		U+1231E	CUNEIFORM SIGN UM TIMES LAGAB
138	dub		U+1207E	CUNEIFORM SIGN DUB
139	ta		U+122EB	CUNEIFORM SIGN TA
139	ta		U+122EC	CUNEIFORM SIGN TA ASTERISK
140	gansis		U+122EF	CUNEIFORM SIGN TA GUNU
142	i		U+1213F	CUNEIFORM SIGN I
142	ia		U+12140	CUNEIFORM SIGN I A
143	gan		U+120F6	CUNEIFORM SIGN GAN
143	kam2		U+1219A	CUNEIFORM SIGN KAM2
144	dumu		U+12309	CUNEIFORM SIGN TUR
145	ad		U+1201C	CUNEIFORM SIGN AD
146	hašhur		U+12222	CUNEIFORM SIGN MA GUNU
147	ze2		U+12362	CUNEIFORM SIGN ZE2
148	in		U+12154	CUNEIFORM SIGN IN
148	(gug5)		U+12219	CUNEIFORM SIGN LUGAL OPPOSING LUGAL
149	rab		U+12290	CUNEIFORM SIGN RAB
150	dim3		U+1221A	CUNEIFORM SIGN LUGAL SHESHIG
151	lugal		U+12217	CUNEIFORM SIGN LUGAL
151	(adamen2)		U+12218	CUNEIFORM SIGN LUGAL OVER LUGAL
152	ezen		U+120A1	CUNEIFORM SIGN EZEN
152	keš2		U+1219F	CUNEIFORM SIGN KESH2
152	sar		U+122AC	CUNEIFORM SIGN SAR
152	(gugu2)		U+120AD	CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED
152.4	ubara		U+120AC	CUNEIFORM SIGN EZEN TIMES KASKAL
152.8	bad3		U+120A6	CUNEIFORM SIGN EZEN TIMES BAD
156	(asila)		U+120B0	CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL
157	(lubun?)		U+120B2	CUNEIFORM SIGN EZEN TIMES LU
158	(sil6)		U+120A2	CUNEIFORM SIGN EZEN TIMES A
159	(sil7)		U+120A3	CUNEIFORM SIGN EZEN TIMES A PLUS LAL
164	sum		U+122E7	CUNEIFORM SIGN SUM
165	naga		U+12240	CUNEIFORM SIGN NAGA
166	kaš2		U+1219C	CUNEIFORM SIGN KASKAL
166'	KASKAL+UD@s			(U+1219C KASKAL plus U+1231A UD SHESHIG)
167	duh		U+12083	CUNEIFORM SIGN DUH
167	gaba		U+120EE	CUNEIFORM SIGN GABA
168	edin		U+12094	CUNEIFORM SIGN EDIN
169	dah		U+1222D	CUNEIFORM SIGN MU OVER MU
170	am		U+12120	CUNEIFORM SIGN GUD TIMES KUR
171	uzu		U+1235C	CUNEIFORM SIGN UZU
172	izi		U+12248	CUNEIFORM SIGN NE
173	gibil		U+1224B	CUNEIFORM SIGN NE SHESHIG
