MesZL	KWU	Characterqid	Character
14	407	Q87555126	𒁀  CUNEIFORM SIGN BA (U+12040)
113	35	Q87555128	𒁁  CUNEIFORM SIGN BAD (U+12041)
647		Q87555131	𒁂  CUNEIFORM SIGN BAG3 (U+12042)
499+099+559		Q87555133	𒁃  CUNEIFORM SIGN BAHAR2 (U+12043)
5	38	Q87555136	𒁄  CUNEIFORM SIGN BAL (U+12044)
		Q87555138	𒁅  CUNEIFORM SIGN BAL OVER BAL (U+12045)
565	320	Q87555140	𒁆  CUNEIFORM SIGN BALAG (U+12046)
121	671	Q87555142	𒁇  CUNEIFORM SIGN BAR (U+12047)
554	295	Q87555144	𒁈  CUNEIFORM SIGN BARA2 (U+12048)
358	749	Q87555146	𒁉  CUNEIFORM SIGN BI (U+12049)
499		Q87555147	𒁊  CUNEIFORM SIGN BI TIMES A (U+1204A)
361	755	Q87555149	𒁋  CUNEIFORM SIGN BI TIMES GAR (U+1204B)
360		Q87555151	𒁌  CUNEIFORM SIGN BI TIMES IGI GUNU (U+1204C)
580	385	Q87555153	𒁍  CUNEIFORM SIGN BU (U+1204D)
582		Q87555155	𒁎  CUNEIFORM SIGN BU OVER BU AB (U+1204E)
		Q87555157	𒁏  CUNEIFORM SIGN BU OVER BU UN (U+1204F)
581		Q87555159	𒁐  CUNEIFORM SIGN BU CROSSING BU (U+12050)
169		Q87555160	𒁑  CUNEIFORM SIGN BULUG (U+12051)
169		Q87555161	𒁒  CUNEIFORM SIGN BULUG OVER BULUG (U+12052)
559	302	Q87555162	𒁓  CUNEIFORM SIGN BUR (U+12053)
8	88	Q87555163	𒁔  CUNEIFORM SIGN BUR2 (U+12054)
561	325	Q87555170	𒁕  CUNEIFORM SIGN DA (U+12055)
438	848	Q87555171	𒁖  CUNEIFORM SIGN DAG (U+12056)
461		Q87555173	𒁗  CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH (U+12057)
458		Q87555175	𒁘  CUNEIFORM SIGN DAG KISIM5 TIMES AMAR (U+12058)
457		Q87555178	𒁙  CUNEIFORM SIGN DAG KISIM5 TIMES BALAG (U+12059)
447		Q87555181	𒁚  CUNEIFORM SIGN DAG KISIM5 TIMES BI (U+1205A)
455		Q87555182	𒁛  CUNEIFORM SIGN DAG KISIM5 TIMES GA (U+1205B)
		Q87555184	𒁜  CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH (U+1205C)
444		Q87555186	𒁝  CUNEIFORM SIGN DAG KISIM5 TIMES GI (U+1205D)
440		Q87555188	𒁞  CUNEIFORM SIGN DAG KISIM5 TIMES GIR2 (U+1205E)
452		Q87555189	𒁟  CUNEIFORM SIGN DAG KISIM5 TIMES GUD (U+1205F)
462		Q87555192	𒁠  CUNEIFORM SIGN DAG KISIM5 TIMES HA (U+12060)
450		Q87555194	𒁡  CUNEIFORM SIGN DAG KISIM5 TIMES IR (U+12061)
451		Q87555196	𒁢  CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU (U+12062)
448		Q87555198	𒁣  CUNEIFORM SIGN DAG KISIM5 TIMES KAK (U+12063)
441		Q87555201	𒁤  CUNEIFORM SIGN DAG KISIM5 TIMES LA (U+12064)
459	767	Q87555202	𒁥  CUNEIFORM SIGN DAG KISIM5 TIMES LU (U+12065)
460		Q87555205	𒁦  CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2 (U+12066)
463		Q87555208	𒁧  CUNEIFORM SIGN DAG KISIM5 TIMES LUM (U+12067)
446		Q87555210	𒁨  CUNEIFORM SIGN DAG KISIM5 TIMES NE (U+12068)
442		Q87555213	𒁩  CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP (U+12069)
445		Q87555214	𒁪  CUNEIFORM SIGN DAG KISIM5 TIMES SI (U+1206A)
443		Q87555216	𒁫  CUNEIFORM SIGN DAG KISIM5 TIMES TAK4 (U+1206B)
453		Q87555218	𒁬  CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2 (U+1206C)
449		Q87555220	𒁭  CUNEIFORM SIGN DAG KISIM5 TIMES USH (U+1206D)
889	799	Q87555221	𒁮  CUNEIFORM SIGN DAM (U+1206E)
183		Q87555223	𒁯  CUNEIFORM SIGN DAR (U+1206F)
166	553	Q87555225	𒁰  CUNEIFORM SIGN DARA3 (U+12070)
817	888	Q87555227	𒁱  CUNEIFORM SIGN DARA4 (U+12071)
736	479	Q87555229	𒁲  CUNEIFORM SIGN DI (U+12072)
813		Q87555230	𒁳  CUNEIFORM SIGN DIB (U+12073)
167	85	Q87555232	𒁴  CUNEIFORM SIGN DIM (U+12074)
168	86	Q87555234	𒁵  CUNEIFORM SIGN DIM TIMES SHE (U+12075)
686	710	Q87555236	𒁶  CUNEIFORM SIGN DIM2 (U+12076)
119	575	Q87555237	𒁷  CUNEIFORM SIGN DIN (U+12077)
		Q87555239	𒁸  CUNEIFORM SIGN DIN KASKAL U GUNU DISH (U+12078)
748		Q87555241	𒁹  CUNEIFORM SIGN DISH (U+12079)
350	704	Q87555243	𒁺  CUNEIFORM SIGN DU (U+1207A)
350		Q87555245	𒁻  CUNEIFORM SIGN DU OVER DU (U+1207B)
351	708	Q87555246	𒁼  CUNEIFORM SIGN DU GUNU (U+1207C)
352	707	Q87555248	𒁽  CUNEIFORM SIGN DU SHESHIG (U+1207D)
242	834	Q87555250	𒁾  CUNEIFORM SIGN DUB (U+1207E)
242		Q87555252	𒁿  CUNEIFORM SIGN DUB TIMES ESH2 (U+1207F)
565	720	Q87555253	𒂀  CUNEIFORM SIGN DUB2 (U+12080)
499	746	Q87555255	𒂁  CUNEIFORM SIGN DUG (U+12081)
704	507	Q87555257	𒂂  CUNEIFORM SIGN DUGUD (U+12082)
298	146	Q87555258	𒂃  CUNEIFORM SIGN DUH (U+12083)
744	348	Q87555260	𒂄  CUNEIFORM SIGN DUN (U+12084)
836	858	Q87555262	𒂅  CUNEIFORM SIGN DUN3 (U+12085)
556		Q87555264	𒂆  CUNEIFORM SIGN DUN3 GUNU (U+12086)
556	311	Q87555265	𒂇  CUNEIFORM SIGN DUN3 GUNU GUNU (U+12087)
557	185	Q87555267	𒂈  CUNEIFORM SIGN DUN4 (U+12088)
808		Q87555269	𒂉  CUNEIFORM SIGN DUR2 (U+12089)
498	304	Q87555271	𒂊  CUNEIFORM SIGN E (U+1208A)
		Q87555273	𒂋  CUNEIFORM SIGN E TIMES PAP (U+1208B)
498		Q87555274	𒂌  CUNEIFORM SIGN E OVER E NUN OVER NUN (U+1208C)
495	843	Q87555276	𒂍  CUNEIFORM SIGN E2 (U+1208D)
428		Q87555278	𒂎  CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA (U+1208E)
431		Q87555281	𒂏  CUNEIFORM SIGN E2 TIMES GAR (U+1208F)
424		Q87555282	𒂐  CUNEIFORM SIGN E2 TIMES MI (U+12090)
432	817	Q87555284	𒂑  CUNEIFORM SIGN E2 TIMES SAL (U+12091)
418		Q87555286	𒂒  CUNEIFORM SIGN E2 TIMES SHE (U+12092)
495		Q87555288	𒂓  CUNEIFORM SIGN E2 TIMES U (U+12093)
300	753	Q87555289	𒂔  CUNEIFORM SIGN EDIN (U+12094)
356	731	Q87555291	𒂕  CUNEIFORM SIGN EGIR (U+12095)
899	792	Q87555293	𒂖  CUNEIFORM SIGN EL (U+12096)
164	75	Q87555295	𒂗  CUNEIFORM SIGN EN (U+12097)
165	78	Q87555296	𒂘  CUNEIFORM SIGN EN TIMES GAN2 (U+12098)
		Q87555298	𒂙  CUNEIFORM SIGN EN TIMES GAN2 TENU (U+12099)
		Q87555300	𒂚  CUNEIFORM SIGN EN TIMES ME (U+1209A)
		Q87555302	𒂛  CUNEIFORM SIGN EN CROSSING EN (U+1209B)
164		Q87555305	𒂜  CUNEIFORM SIGN EN OPPOSING EN (U+1209C)
		Q87555307	𒂝  CUNEIFORM SIGN EN SQUARED (U+1209D)
818	895	Q87555308	𒂞  CUNEIFORM SIGN EREN (U+1209E)
612	347	Q87555310	𒂟  CUNEIFORM SIGN ERIN2 (U+1209F)
810		Q87555313	𒂠  CUNEIFORM SIGN ESH2 (U+120A0)
271	835	Q87555314	𒂡  CUNEIFORM SIGN EZEN (U+120A1)
288		Q87555316	𒂢  CUNEIFORM SIGN EZEN TIMES A (U+120A2)
289		Q87555319	𒂣  CUNEIFORM SIGN EZEN TIMES A PLUS LAL (U+120A3)
290		Q87555321	𒂤  CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL (U+120A4)
272		Q87555323	𒂥  CUNEIFORM SIGN EZEN TIMES AN (U+120A5)
275	837	Q87555324	𒂦  CUNEIFORM SIGN EZEN TIMES BAD (U+120A6)
287		Q87555326	𒂧  CUNEIFORM SIGN EZEN TIMES DUN3 GUNU (U+120A7)
280		Q87555329	𒂨  CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU (U+120A8)
291		Q87555331	𒂩  CUNEIFORM SIGN EZEN TIMES HA (U+120A9)
281		Q87555334	𒂫  CUNEIFORM SIGN EZEN TIMES IGI GUNU (U+120AB)
277	840	Q87555336	𒂬  CUNEIFORM SIGN EZEN TIMES KASKAL (U+120AC)
		Q87555338	𒂭  CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED (U+120AD)
284		Q87555340	𒂮  CUNEIFORM SIGN EZEN TIMES KU3 (U+120AE)
274	839	Q87555342	𒂯  CUNEIFORM SIGN EZEN TIMES LA (U+120AF)
285		Q87555344	𒂰  CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL (U+120B0)
273		Q87555345	𒂱  CUNEIFORM SIGN EZEN TIMES LI (U+120B1)
286		Q87555347	𒂲  CUNEIFORM SIGN EZEN TIMES LU (U+120B2)
279		Q87555348	𒂳  CUNEIFORM SIGN EZEN TIMES U2 (U+120B3)
283		Q87555350	𒂴  CUNEIFORM SIGN EZEN TIMES UD (U+120B4)
491	760	Q87555352	𒂵  CUNEIFORM SIGN GA (U+120B5)
492	762	Q87555354	𒂶  CUNEIFORM SIGN GA GUNU (U+120B6)
387	807	Q87555355	𒂷  CUNEIFORM SIGN GA2 (U+120B7)
428		Q87555357	𒂸  CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA (U+120B8)
387		Q87555359	𒂹  CUNEIFORM SIGN GA2 TIMES A PLUS HA (U+120B9)
429		Q87555360	𒂺  CUNEIFORM SIGN GA2 TIMES A PLUS IGI (U+120BA)
392	810	Q87555364	𒂼  CUNEIFORM SIGN GA2 TIMES AN (U+120BC)
389	809	Q87555365	𒂽  CUNEIFORM SIGN GA2 TIMES ASH (U+120BD)
414		Q87555367	𒂾  CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL (U+120BE)
395		Q87555370	𒂿  CUNEIFORM SIGN GA2 TIMES BAD (U+120BF)
387		Q87555371	𒃀  CUNEIFORM SIGN GA2 TIMES BAR PLUS RA (U+120C0)
387		Q87555374	𒃁  CUNEIFORM SIGN GA2 TIMES BUR (U+120C1)
415		Q87555377	𒃂  CUNEIFORM SIGN GA2 TIMES BUR PLUS RA (U+120C2)
416		Q87555379	𒃃  CUNEIFORM SIGN GA2 TIMES DA (U+120C3)
425		Q87555380	𒃄  CUNEIFORM SIGN GA2 TIMES DI (U+120C4)
401		Q87555382	𒃅  CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE (U+120C5)
403		Q87555385	𒃆  CUNEIFORM SIGN GA2 TIMES DUB (U+120C6)
387		Q87555386	𒃇  CUNEIFORM SIGN GA2 TIMES EL (U+120C7)
433		Q87555388	𒃈  CUNEIFORM SIGN GA2 TIMES EL PLUS LA (U+120C8)
399		Q87555390	𒃉  CUNEIFORM SIGN GA2 TIMES EN (U+120C9)
400		Q87555393	𒃊  CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU (U+120CA)
402		Q87555395	𒃋  CUNEIFORM SIGN GA2 TIMES GAN2 TENU (U+120CB)
431		Q87555397	𒃌  CUNEIFORM SIGN GA2 TIMES GAR (U+120CC)
396	811	Q87555399	𒃍  CUNEIFORM SIGN GA2 TIMES GI (U+120CD)
412	812	Q87555401	𒃎  CUNEIFORM SIGN GA2 TIMES GI4 (U+120CE)
387		Q87555403	𒃏  CUNEIFORM SIGN GA2 TIMES GI4 PLUS A (U+120CF)
391		Q87555404	𒃐  CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU (U+120D0)
430		Q87555406	𒃑  CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2 (U+120D1)
387		Q87555408	𒃒  CUNEIFORM SIGN GA2 TIMES HAL (U+120D2)
390		Q87555410	𒃓  CUNEIFORM SIGN GA2 TIMES HAL PLUS LA (U+120D3)
421		Q87555412	𒃔  CUNEIFORM SIGN GA2 TIMES HI PLUS LI (U+120D4)
398		Q87555414	𒃕  CUNEIFORM SIGN GA2 TIMES HUB2 (U+120D5)
417		Q87555415	𒃖  CUNEIFORM SIGN GA2 TIMES IGI GUNU (U+120D6)
406		Q87555417	𒃗  CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH (U+120D7)
407		Q87555419	𒃘  CUNEIFORM SIGN GA2 TIMES KAK (U+120D8)
405		Q87555422	𒃙  CUNEIFORM SIGN GA2 TIMES KASKAL (U+120D9)
394		Q87555423	𒃚  CUNEIFORM SIGN GA2 TIMES KID (U+120DA)
409		Q87555425	𒃛  CUNEIFORM SIGN GA2 TIMES KID PLUS LAL (U+120DB)
426		Q87555427	𒃜  CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN (U+120DC)
387		Q87555428	𒃝  CUNEIFORM SIGN GA2 TIMES LA (U+120DD)
427	819	Q87555430	𒃞  CUNEIFORM SIGN GA2 TIMES ME PLUS EN (U+120DE)
424		Q87555432	𒃟  CUNEIFORM SIGN GA2 TIMES MI (U+120DF)
397	813	Q87555433	𒃠  CUNEIFORM SIGN GA2 TIMES NUN (U+120E0)
411	814	Q87555435	𒃡  CUNEIFORM SIGN GA2 TIMES NUN OVER NUN (U+120E1)
408	816	Q87555437	𒃢  CUNEIFORM SIGN GA2 TIMES PA (U+120E2)
432	817	Q87555439	𒃣  CUNEIFORM SIGN GA2 TIMES SAL (U+120E3)
413		Q87555441	𒃤  CUNEIFORM SIGN GA2 TIMES SAR (U+120E4)
418		Q87555442	𒃥  CUNEIFORM SIGN GA2 TIMES SHE (U+120E5)
419		Q87555444	𒃦  CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR (U+120E6)
410		Q87555446	𒃧  CUNEIFORM SIGN GA2 TIMES SHID (U+120E7)
404		Q87555447	𒃨  CUNEIFORM SIGN GA2 TIMES SUM (U+120E8)
394		Q87555450	𒃩  CUNEIFORM SIGN GA2 TIMES TAK4 (U+120E9)
422		Q87555452	𒃪  CUNEIFORM SIGN GA2 TIMES U (U+120EA)
420		Q87555454	𒃫  CUNEIFORM SIGN GA2 TIMES UD (U+120EB)
387		Q87555456	𒃬  CUNEIFORM SIGN GA2 TIMES UD PLUS DU (U+120EC)
387		Q87555458	𒃭  CUNEIFORM SIGN GA2 OVER GA2 (U+120ED)
298		Q87555460	𒃮  CUNEIFORM SIGN GABA (U+120EE)
298		Q87555462	𒃯  CUNEIFORM SIGN GABA CROSSING GABA (U+120EF)
157	402	Q87555464	𒃰  CUNEIFORM SIGN GAD (U+120F0)
163		Q87555465	𒃱  CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR (U+120F1)
553	298	Q87555467	𒃲  CUNEIFORM SIGN GAL (U+120F2)
		Q87555470	𒃳  CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR (U+120F3)
338	147	Q87555472	𒃴  CUNEIFORM SIGN GALAM (U+120F4)
576	338	Q87555473	𒃵  CUNEIFORM SIGN GAM (U+120F5)
253	747	Q87555475	𒃶  CUNEIFORM SIGN GAN (U+120F6)
174	100	Q87555477	𒃷  CUNEIFORM SIGN GAN2 (U+120F7)
175	349	Q87555480	𒃸  CUNEIFORM SIGN GAN2 TENU (U+120F8)
		Q87555481	𒃹  CUNEIFORM SIGN GAN2 OVER GAN2 (U+120F9)
		Q87555483	𒃺  CUNEIFORM SIGN GAN2 CROSSING GAN2 (U+120FA)
859	920	Q87555485	𒃻  CUNEIFORM SIGN GAR (U+120FB)
543	261	Q87555487	𒃼  CUNEIFORM SIGN GAR3 (U+120FC)
562		Q87555489	𒃽  CUNEIFORM SIGN GASHAN (U+120FD)
212	719	Q87555491	𒃾  CUNEIFORM SIGN GESHTIN (U+120FE)
213		Q87555493	𒃿  CUNEIFORM SIGN GESHTIN TIMES KUR (U+120FF)
141	123	Q87555494	𒄀  CUNEIFORM SIGN GI (U+12100)
		Q87555496	𒄁  CUNEIFORM SIGN GI TIMES E (U+12101)
141		Q87555499	𒄂  CUNEIFORM SIGN GI TIMES U (U+12102)
105	124	Q87555501	𒄃  CUNEIFORM SIGN GI CROSSING GI (U+12103)
507	299	Q87555503	𒄄  CUNEIFORM SIGN GI4 (U+12104)
508	300	Q87555504	𒄅  CUNEIFORM SIGN GI4 OVER GI4 (U+12105)
508		Q87555508	𒄆  CUNEIFORM SIGN GI4 CROSSING GI4 (U+12106)
830		Q87555510	𒄇  CUNEIFORM SIGN GIDIM (U+12107)
6	20	Q87555512	𒄈  CUNEIFORM SIGN GIR2 (U+12108)
7	21	Q87555514	𒄉  CUNEIFORM SIGN GIR2 GUNU (U+12109)
701	457	Q87555516	𒄊  CUNEIFORM SIGN GIR3 (U+1210A)
703	464	Q87555518	𒄋  CUNEIFORM SIGN GIR3 TIMES A PLUS IGI (U+1210B)
675	462	Q87555520	𒄌  CUNEIFORM SIGN GIR3 TIMES GAN2 TENU (U+1210C)
		Q87555522	𒄍  CUNEIFORM SIGN GIR3 TIMES IGI (U+1210D)
702	467	Q87555524	𒄎  CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI (U+1210E)
353	457	Q87555526	𒄏  CUNEIFORM SIGN GIR3 TIMES PA (U+1210F)
376		Q87555528	𒄐  CUNEIFORM SIGN GISAL (U+12110)
469	802	Q87555530	𒄑  CUNEIFORM SIGN GISH (U+12111)
378	360	Q87555533	𒄒  CUNEIFORM SIGN GISH CROSSING GISH (U+12112)
471		Q87555535	𒄓  CUNEIFORM SIGN GISH TIMES BAD (U+12113)
469		Q87555538	𒄔  CUNEIFORM SIGN GISH TIMES TAK4 (U+12114)
470		Q87555540	𒄕  CUNEIFORM SIGN GISH TENU (U+12115)
891	781	Q87555542	𒄖  CUNEIFORM SIGN GU (U+12116)
892		Q87555544	𒄗  CUNEIFORM SIGN GU CROSSING GU (U+12117)
176	687	Q87555547	𒄘  CUNEIFORM SIGN GU2 (U+12118)
178	153	Q87555549	𒄙  CUNEIFORM SIGN GU2 TIMES KAK (U+12119)
176		Q87555551	𒄚  CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU (U+1211A)
177		Q87555552	𒄛  CUNEIFORM SIGN GU2 TIMES NUN (U+1211B)
176		Q87555554	𒄜  CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2 (U+1211C)
509	716	Q87555556	𒄝  CUNEIFORM SIGN GU2 GUNU (U+1211D)
472	177	Q87555559	𒄞  CUNEIFORM SIGN GUD (U+1211E)
310		Q87555560	𒄟  CUNEIFORM SIGN GUD TIMES A PLUS KUR (U+1211F)
309	178	Q87555563	𒄠  CUNEIFORM SIGN GUD TIMES KUR (U+12120)
572		Q87555565	𒄡  CUNEIFORM SIGN GUD OVER GUD LUGAL (U+12121)
682	546	Q87555566	𒄢  CUNEIFORM SIGN GUL (U+12122)
339	741	Q87555568	𒄣  CUNEIFORM SIGN GUM (U+12123)
340	742	Q87555571	𒄤  CUNEIFORM SIGN GUM TIMES SHE (U+12124)
180	99	Q87555573	𒄥  CUNEIFORM SIGN GUR (U+12125)
819	926	Q87555575	𒄦  CUNEIFORM SIGN GUR7 (U+12126)
503		Q87555577	𒄧  CUNEIFORM SIGN GURUN (U+12127)
496	803	Q87555579	𒄨  CUNEIFORM SIGN GURUSH (U+12128)
856	916	Q87555581	𒄩  CUNEIFORM SIGN HA (U+12129)
857		Q87555583	𒄪  CUNEIFORM SIGN HA TENU (U+1212A)
558	330	Q87555585	𒄫  CUNEIFORM SIGN HA GUNU (U+1212B)
3	18	Q87555588	𒄬  CUNEIFORM SIGN HAL (U+1212C)
631	446	Q87555589	𒄭  CUNEIFORM SIGN HI (U+1212D)
634		Q87555592	𒄮  CUNEIFORM SIGN HI TIMES ASH (U+1212E)
644	483	Q87555594	𒄯  CUNEIFORM SIGN HI TIMES ASH2 (U+1212F)
640	452	Q87555597	𒄰  CUNEIFORM SIGN HI TIMES BAD (U+12130)
659		Q87555599	𒄱  CUNEIFORM SIGN HI TIMES DISH (U+12131)
650	588	Q87555601	𒄲  CUNEIFORM SIGN HI TIMES GAD (U+12132)
660		Q87555602	𒄳  CUNEIFORM SIGN HI TIMES KIN (U+12133)
636	485	Q87555604	𒄴  CUNEIFORM SIGN HI TIMES NUN (U+12134)
643		Q87555606	𒄵  CUNEIFORM SIGN HI TIMES SHE (U+12135)
688		Q87555609	𒄶  CUNEIFORM SIGN HI TIMES U (U+12136)
132	111	Q87555612	𒄷  CUNEIFORM SIGN HU (U+12137)
149		Q87555613	𒄸  CUNEIFORM SIGN HUB2 (U+12138)
150		Q87555616	𒄹  CUNEIFORM SIGN HUB2 TIMES AN (U+12139)
149		Q87555618	𒄺  CUNEIFORM SIGN HUB2 TIMES HAL (U+1213A)
149		Q87555620	𒄻  CUNEIFORM SIGN HUB2 TIMES KASKAL (U+1213B)
149		Q87555622	𒄼  CUNEIFORM SIGN HUB2 TIMES LISH (U+1213C)
150		Q87555624	𒄽  CUNEIFORM SIGN HUB2 TIMES UD (U+1213D)
877	900	Q87555626	𒄾  CUNEIFORM SIGN HUL2 (U+1213E)
252	230	Q87555628	𒄿  CUNEIFORM SIGN I (U+1213F)
260		Q87555630	𒅀  CUNEIFORM SIGN I A (U+12140)
807	116	Q87555632	𒅁  CUNEIFORM SIGN IB (U+12141)
113		Q87555633	𒅂  CUNEIFORM SIGN IDIM (U+12142)
377		Q87555636	𒅃  CUNEIFORM SIGN IDIM OVER IDIM BUR (U+12143)
113		Q87555638	𒅄  CUNEIFORM SIGN IDIM OVER IDIM SQUARED (U+12144)
136	74	Q87555640	𒅅  CUNEIFORM SIGN IG (U+12145)
724	556	Q87555641	𒅆  CUNEIFORM SIGN IGI (U+12146)
731	568	Q87555643	𒅇  CUNEIFORM SIGN IGI DIB (U+12147)
726	557	Q87555645	𒅈  CUNEIFORM SIGN IGI RI (U+12148)
		Q87555648	𒅉  CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD (U+12149)
564	274	Q87555649	𒅊  CUNEIFORM SIGN IGI GUNU (U+1214A)
348	726	Q87555651	𒅋  CUNEIFORM SIGN IL (U+1214B)
349		Q87555654	𒅌  CUNEIFORM SIGN IL TIMES GAN2 TENU (U+1214C)
493	319	Q87555655	𒅍  CUNEIFORM SIGN IL2 (U+1214D)
641	476	Q87555658	𒅎  CUNEIFORM SIGN IM (U+1214E)
642	477	Q87555660	𒅏  CUNEIFORM SIGN IM TIMES TAK4 (U+1214F)
641		Q87555663	𒅐  CUNEIFORM SIGN IM CROSSING IM (U+12150)
641		Q87555664	𒅑  CUNEIFORM SIGN IM OPPOSING IM (U+12151)
		Q87555667	𒅒  CUNEIFORM SIGN IM SQUARED (U+12152)
863		Q87555669	𒅓  CUNEIFORM SIGN IMIN (U+12153)
261	649	Q87555671	𒅔  CUNEIFORM SIGN IN (U+12154)
437	785	Q87555672	𒅕  CUNEIFORM SIGN IR (U+12155)
357	278	Q87555674	𒅖  CUNEIFORM SIGN ISH (U+12156)
24	414	Q87555676	𒅗  CUNEIFORM SIGN KA (U+12157)
64	427	Q87555678	𒅘  CUNEIFORM SIGN KA TIMES A (U+12158)
		Q87555679	𒅙  CUNEIFORM SIGN KA TIMES AD (U+12159)
34		Q87555681	𒅚  CUNEIFORM SIGN KA TIMES AD PLUS KU3 (U+1215A)
46		Q87555683	𒅛  CUNEIFORM SIGN KA TIMES ASH2 (U+1215B)
29	416	Q87555684	𒅜  CUNEIFORM SIGN KA TIMES BAD (U+1215C)
47		Q87555686	𒅝  CUNEIFORM SIGN KA TIMES BALAG (U+1215D)
30		Q87555688	𒅞  CUNEIFORM SIGN KA TIMES BAR (U+1215E)
24		Q87555690	𒅟  CUNEIFORM SIGN KA TIMES BI (U+1215F)
53		Q87555691	𒅠  CUNEIFORM SIGN KA TIMES ERIN2 (U+12160)
62		Q87555693	𒅡  CUNEIFORM SIGN KA TIMES ESH2 (U+12161)
44		Q87555695	𒅢  CUNEIFORM SIGN KA TIMES GA (U+12162)
		Q87555697	𒅣  CUNEIFORM SIGN KA TIMES GAL (U+12163)
33	428	Q87555699	𒅤  CUNEIFORM SIGN KA TIMES GAN2 TENU (U+12164)
65	425	Q87555700	𒅥  CUNEIFORM SIGN KA TIMES GAR (U+12165)
66		Q87555702	𒅦  CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A (U+12166)
24		Q87555704	𒅧  CUNEIFORM SIGN KA TIMES GI (U+12167)
25	417	Q87555705	𒅨  CUNEIFORM SIGN KA TIMES GIR2 (U+12168)
24		Q87555709	𒅩  CUNEIFORM SIGN KA TIMES GISH PLUS SAR (U+12169)
37		Q87555712	𒅪  CUNEIFORM SIGN KA TIMES GISH CROSSING GISH (U+1216A)
69		Q87555714	𒅫  CUNEIFORM SIGN KA TIMES GU (U+1216B)
63		Q87555716	𒅬  CUNEIFORM SIGN KA TIMES GUR7 (U+1216C)
59		Q87555718	𒅭  CUNEIFORM SIGN KA TIMES IGI (U+1216D)
54	421	Q87555719	𒅮  CUNEIFORM SIGN KA TIMES IM (U+1216E)
38		Q87555722	𒅯  CUNEIFORM SIGN KA TIMES KAK (U+1216F)
60		Q87555724	𒅰  CUNEIFORM SIGN KA TIMES KI (U+12170)
24		Q87555727	𒅱  CUNEIFORM SIGN KA TIMES KID (U+12171)
26		Q87555730	𒅲  CUNEIFORM SIGN KA TIMES LI (U+12172)
24		Q87555732	𒅳  CUNEIFORM SIGN KA TIMES LU (U+12173)
61	426	Q87555734	𒅴  CUNEIFORM SIGN KA TIMES ME (U+12174)
		Q87555736	𒅵  CUNEIFORM SIGN KA TIMES ME PLUS DU (U+12175)
		Q87555739	𒅶  CUNEIFORM SIGN KA TIMES ME PLUS GI (U+12176)
		Q87555741	𒅷  CUNEIFORM SIGN KA TIMES ME PLUS TE (U+12177)
57		Q87555742	𒅸  CUNEIFORM SIGN KA TIMES MI (U+12178)
24		Q87555744	𒅹  CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ (U+12179)
35		Q87555747	𒅺  CUNEIFORM SIGN KA TIMES NE (U+1217A)
31		Q87555749	𒅻  CUNEIFORM SIGN KA TIMES NUN (U+1217B)
52		Q87555752	𒅼  CUNEIFORM SIGN KA TIMES PI (U+1217C)
28		Q87555754	𒅽  CUNEIFORM SIGN KA TIMES RU (U+1217D)
32	429	Q87555756	𒅾  CUNEIFORM SIGN KA TIMES SA (U+1217E)
45	424	Q87555757	𒅿  CUNEIFORM SIGN KA TIMES SAR (U+1217F)
48	419	Q87555759	𒆀  CUNEIFORM SIGN KA TIMES SHA (U+12180)
50	423	Q87555761	𒆁  CUNEIFORM SIGN KA TIMES SHE (U+12181)
42		Q87555762	𒆂  CUNEIFORM SIGN KA TIMES SHID (U+12182)
49	418	Q87555763	𒆃  CUNEIFORM SIGN KA TIMES SHU (U+12183)
68		Q87555764	𒆄  CUNEIFORM SIGN KA TIMES SIG (U+12184)
24		Q87555766	𒆅  CUNEIFORM SIGN KA TIMES SUHUR (U+12185)
