MesZL	KWU	Characterqid	Character
		Q122923351	CUNEIFORM SIGN LAK-013
		Q122923320	CUNEIFORM SIGN LAK-020
		Q122915558	CUNEIFORM SIGN LAK-027
		Q122915566	CUNEIFORM SIGN LAK-028
		Q122915572	CUNEIFORM SIGN LAK-037
		Q122905411	CUNEIFORM SIGN LAK-046a
		Q122917058	CUNEIFORM SIGN LAK-077
		Q122902110	CUNEIFORM SIGN LAK-093
		Q122902133	CUNEIFORM SIGN LAK-099
		Q122902170	CUNEIFORM SIGN LAK-120
		Q122902320	CUNEIFORM SIGN LAK-132
		Q122902327	CUNEIFORM SIGN LAK-141
		Q122902381	CUNEIFORM SIGN LAK-151
		Q122902390	CUNEIFORM SIGN LAK-195
		Q122902411	CUNEIFORM SIGN LAK-202
		Q122902481	CUNEIFORM SIGN LAK-203
		Q122902494	CUNEIFORM SIGN LAK-205
		Q122904676	CUNEIFORM SIGN LAK-213
		Q122902707	CUNEIFORM SIGN LAK-222
		Q122903428	CUNEIFORM SIGN LAK-231
		Q122903443	CUNEIFORM SIGN LAK-234
		Q122923759	CUNEIFORM SIGN LAK-239
		Q122903470	CUNEIFORM SIGN LAK-241
		Q122947709	CUNEIFORM SIGN LAK-244
		Q122903487	CUNEIFORM SIGN LAK-246
		Q122903507	CUNEIFORM SIGN LAK-248b
		Q122903556	CUNEIFORM SIGN LAK-252
		Q122903565	CUNEIFORM SIGN LAK-256
		Q122903605	CUNEIFORM SIGN LAK-262
		Q122903630	CUNEIFORM SIGN LAK-286
		Q122903637	CUNEIFORM SIGN LAK-287
		Q122903648	CUNEIFORM SIGN LAK-298
		Q122903659	CUNEIFORM SIGN LAK-315
		Q122923878	CUNEIFORM SIGN LAK-332
		Q122903675	CUNEIFORM SIGN LAK-336
		Q122903685	CUNEIFORM SIGN LAK-340
		Q122903697	CUNEIFORM SIGN LAK-363
		Q122936812	CUNEIFORM SIGN LAK-369
		Q122936853	CUNEIFORM SIGN LAK-380
		Q122903710	CUNEIFORM SIGN LAK-387
		Q122903783	CUNEIFORM SIGN LAK-407
		Q122903791	CUNEIFORM SIGN LAK-408
		Q122903809	CUNEIFORM SIGN LAK-409
		Q122903835	CUNEIFORM SIGN LAK-410
		Q122903846	CUNEIFORM SIGN LAK-416
		Q122903855	CUNEIFORM SIGN LAK-431
		Q122903862	CUNEIFORM SIGN LAK-444
		Q122903870	CUNEIFORM SIGN LAK-445
		Q122903880	CUNEIFORM SIGN LAK-453
		Q122903892	CUNEIFORM SIGN LAK-456
		Q122903953	CUNEIFORM SIGN LAK-471
		Q122903967	CUNEIFORM SIGN LAK-496
		Q122915296	CUNEIFORM SIGN LAK-498
		Q122905391	CUNEIFORM SIGN LAK-500
		Q123248014	CUNEIFORM SIGN LAK-508
		Q122915257	CUNEIFORM SIGN LAK-526
		Q122904466	CUNEIFORM SIGN LAK-539
		Q122904445	CUNEIFORM SIGN LAK-546
		Q122904243	CUNEIFORM SIGN LAK-558
		Q122915148	CUNEIFORM SIGN LAK-605
		Q122904325	CUNEIFORM SIGN LAK-607
		Q122904299	CUNEIFORM SIGN LAK-638
		Q122904282	CUNEIFORM SIGN LAK-643
		Q122904289	CUNEIFORM SIGN LAK-646
		Q122915021	CUNEIFORM SIGN LAK-708
		Q122904088	CUNEIFORM SIGN LAK-712
		Q122904097	CUNEIFORM SIGN LAK-722
		Q122904108	CUNEIFORM SIGN LAK-748
		Q122904123	CUNEIFORM SIGN LAK-764
		Q122904132	CUNEIFORM SIGN LAK-765
		Q122904139	CUNEIFORM SIGN LAK-773
		Q122904151	CUNEIFORM SIGN LAK-774
		Q122904176	CUNEIFORM SIGN LAK-779
		Q122938817	CUNEIFORM SIGN LAK-786
		Q122904188	CUNEIFORM SIGN LAK-804
		Q122904202	CUNEIFORM SIGN LAK-805
		Q122904209	CUNEIFORM SIGN LAK-806
		Q122904218	CUNEIFORM SIGN LAK-811
		Q122904223	CUNEIFORM SIGN LAK-812
		Q122904233	CUNEIFORM SIGN LAK-821
